Complexity metrics,Qua, 13 dez 2017 16:15:53 BRST
Method,ev(G),iv(G),v(G)
"xml.EditTagDialog.AttributeCompare.compare(Object,Object)",3,3,5
"xml.EditTagDialog.AttributeTable.getCellEditor(int,int)",2,1,2
"xml.EditTagDialog.AttributeTable.getCellRenderer(int,int)",2,1,2
"xml.EditTagDialog.AttributeTableModel.equal(String,String)",4,5,6
"xml.EditTagDialog.AttributeTableModel.getColumnClass(int)",2,1,2
"xml.EditTagDialog.AttributeTableModel.getColumnCount()",1,1,1
"xml.EditTagDialog.AttributeTableModel.getColumnName(int)",6,6,6
"xml.EditTagDialog.AttributeTableModel.getRowCount()",1,1,1
"xml.EditTagDialog.AttributeTableModel.getValueAt(int,int)",10,5,10
"xml.EditTagDialog.AttributeTableModel.isCellEditable(int,int)",2,1,3
"xml.EditTagDialog.AttributeTableModel.setValueAt(Object,int,int)",4,3,6
"xml.EditTagDialog.ComboValueRenderer.ComboValueRenderer()",1,1,1
"xml.EditTagDialog.ComboValueRenderer.ComboValueRenderer(JComboBox)",1,1,1
"xml.EditTagDialog.ComboValueRenderer.getTableCellEditorComponent(JTable,Object,boolean,int,int)",1,1,1
"xml.EditTagDialog.ComboValueRenderer.getTableCellRendererComponent(JTable,Object,boolean,boolean,int,int)",1,1,1
"xml.EditTagDialog.EditTagDialog(View,String,ElementDecl,Map,boolean,Map,List,boolean)",1,2,2
"xml.EditTagDialog.cancel()",1,1,1
"xml.EditTagDialog.createAttributeModel(List,Map,List)",1,9,11
"xml.EditTagDialog.getNewTag()",1,1,2
"xml.EditTagDialog.isEmpty()",1,1,1
"xml.EditTagDialog.ok()",1,3,4
"xml.EditTagDialog.updateTag()",5,8,12
"xml.Resolver.Entry.Entry(int,String,String)",1,1,1
"xml.Resolver.Entry.equals(Object)",2,3,3
"xml.Resolver.Entry.hashCode()",1,1,1
"xml.Resolver.Resolver()",1,5,5
"xml.Resolver.addUserResource(String,String,String)",1,2,2
"xml.Resolver.clearCache()",1,3,3
"xml.Resolver.copyToLocalFile(Object,VFS,String)",2,3,4
"xml.Resolver.instance()",1,1,2
"xml.Resolver.isAskBeforeDownloading()",1,1,1
"xml.Resolver.isLocal()",1,1,1
"xml.Resolver.isUsingCache()",2,1,2
"xml.Resolver.resolve(String,String,String)",9,22,29
"xml.Resolver.resolveEntity(XMLResourceIdentifier)",1,1,1
"xml.Resolver.resolvePublic(String,String)",3,2,3
"xml.Resolver.resolveSystem(String)",3,2,3
"xml.Resolver.setAskBeforeDownloading(boolean)",1,1,1
"xml.Resolver.setLocal(boolean)",1,1,1
"xml.Resolver.setUsingCache(boolean)",1,1,1
"xml.Resolver.showDownloadResourceDialog(Component,String)",3,2,3
"xml.TagHighlight.getMatch(JEditTextArea)",3,3,4
"xml.TagHighlight.selectMatch(JEditTextArea)",1,1,1
"xml.XmlActions.charactersToEntities(String,Map)",4,4,9
"xml.XmlActions.charactersToEntities(View)",3,5,5
"xml.XmlActions.completeClosingTag(View,boolean)",7,6,12
"xml.XmlActions.countNewLines(Segment)",1,1,3
"xml.XmlActions.entitiesToCharacters(String,Map)",5,5,5
"xml.XmlActions.entitiesToCharacters(View)",3,5,5
"xml.XmlActions.getNextNonWhitespaceChar(Buffer,int)",3,2,3
"xml.XmlActions.getPrevNonWhitespaceChar(Buffer,int)",3,2,3
"xml.XmlActions.getStandaloneEnd()",1,1,2
"xml.XmlActions.insertClosingTag(View)",3,5,5
"xml.XmlActions.insertClosingTagKeyTyped(View)",5,7,13
"xml.XmlActions.matchTag(JEditTextArea)",1,4,5
"xml.XmlActions.propertiesChanged()",1,1,1
"xml.XmlActions.removeTags(Buffer)",4,4,4
"xml.XmlActions.showEditTagDialog(View)",7,15,20
"xml.XmlActions.showEditTagDialog(View,ElementDecl)",1,1,1
"xml.XmlActions.showEditTagDialog(View,ElementDecl,Selection)",2,8,11
"xml.XmlActions.split(View)",3,7,7
"xml.XmlInsert.ArrayListModel.ArrayListModel(List)",1,1,1
"xml.XmlInsert.ArrayListModel.addListDataListener(ListDataListener)",1,1,1
"xml.XmlInsert.ArrayListModel.getElementAt(int)",1,1,1
"xml.XmlInsert.ArrayListModel.getSize()",1,1,1
"xml.XmlInsert.ArrayListModel.removeListDataListener(ListDataListener)",1,1,1
"xml.XmlInsert.CaretHandler.caretUpdate(CaretEvent)",1,2,2
"xml.XmlInsert.MouseHandler.mouseClicked(MouseEvent)",12,10,19
"xml.XmlInsert.XmlInsert(View,boolean)",1,1,3
"xml.XmlInsert.addNotify()",1,2,2
"xml.XmlInsert.handleMessage(EBMessage)",1,15,15
"xml.XmlInsert.removeNotify()",1,2,2
"xml.XmlInsert.setDeclaredElements(List)",1,4,4
"xml.XmlInsert.setDeclaredEntities(List)",1,4,4
"xml.XmlInsert.setDeclaredIDs(List)",1,4,4
"xml.XmlInsert.showNotParsedMessage()",1,1,1
"xml.XmlInsert.update()",1,2,2
"xml.XmlInsert.updateTagList()",1,3,3
"xml.XmlInsert.updateTagListWithDelay()",1,2,2
"xml.XmlListCellRenderer.ClosingTag.ClosingTag(String)",1,1,1
"xml.XmlListCellRenderer.getListCellRendererComponent(JList,Object,int,boolean,boolean)",1,8,10
"xml.XmlParsedData.XmlParsedData(String,boolean)",1,1,1
"xml.XmlParsedData.getAllowedElements(Buffer,int)",1,6,7
"xml.XmlParsedData.getAllowedElements(Buffer,int,int)",9,11,13
"xml.XmlParsedData.getElementDecl(String)",3,5,5
"xml.XmlParsedData.getElementNamePrefix(String)",2,2,2
"xml.XmlParsedData.getNoNamespaceCompletionInfo()",1,2,2
"xml.XmlParsedData.setCompletionInfo(String,CompletionInfo)",1,1,1
