Complexity metrics,Sex, 17 nov 2017 11:09:50 BRST
Method,ev(G),iv(G),v(G)
"org.apache.tools.ant.ComponentHelper.getDefinition(String)",1,1,1
"org.apache.tools.ant.ComponentHelper.getElementName(Object)",1,1,1
"org.apache.tools.ant.ComponentHelper.getElementName(Object,boolean)",3,4,5
"org.apache.tools.ant.ComponentHelper.getElementName(Project,Object,boolean)",1,3,3
"org.apache.tools.ant.ComponentHelper.getNext()",1,1,1
"org.apache.tools.ant.ComponentHelper.getProject()",1,1,1
"org.apache.tools.ant.ComponentHelper.getRestrictedDefinition()",1,2,2
"org.apache.tools.ant.ComponentHelper.getRestrictedDefinitions(String)",1,1,1
"org.apache.tools.ant.ComponentHelper.getTaskDefinitions()",4,4,5
"org.apache.tools.ant.ComponentHelper.getUnmappedElementName(Class<?>,boolean)",2,2,2
"org.apache.tools.ant.ComponentHelper.initDefaultDefinitions()",1,1,1
"org.apache.tools.ant.ComponentHelper.initSubProject(ComponentHelper)",1,2,2
"org.apache.tools.ant.ComponentHelper.initTasks()",1,2,2
"org.apache.tools.ant.ComponentHelper.initTypes()",1,2,2
"org.apache.tools.ant.ComponentHelper.printClassNotFound(PrintWriter,String,boolean,String)",1,2,2
"org.apache.tools.ant.ComponentHelper.printNotLoadDependentClass(PrintWriter,boolean,NoClassDefFoundError,String)",1,2,2
"org.apache.tools.ant.ComponentHelper.printUnknownDefinition(PrintWriter,String,String)",1,5,5
"org.apache.tools.ant.ComponentHelper.sameDefinition(AntTypeDefinition,AntTypeDefinition)",1,3,3
"org.apache.tools.ant.ComponentHelper.setNext(ComponentHelper)",1,1,1
"org.apache.tools.ant.ComponentHelper.setProject(Project)",1,1,1
"org.apache.tools.ant.ComponentHelper.updateDataTypeDefinition(AntTypeDefinition)",3,3,6
"org.apache.tools.ant.ComponentHelper.updateRestrictedDefinition(AntTypeDefinition)",3,4,4
"org.apache.tools.ant.ComponentHelper.validDefinition(AntTypeDefinition)",1,2,2
"org.apache.tools.ant.DefaultDefinitions.DefaultDefinitions(ComponentHelper)",1,1,1
"org.apache.tools.ant.DefaultDefinitions.attributeNamespaceDef(String)",1,1,1
"org.apache.tools.ant.DefaultDefinitions.componentDef(String,String,String)",1,1,1
"org.apache.tools.ant.DefaultDefinitions.execute()",1,1,1
"org.apache.tools.ant.DefaultDefinitions.ifUnlessDef(String,String)",1,1,1
"org.apache.tools.ant.DefaultLogger.DefaultLogger()",1,1,1
"org.apache.tools.ant.DefaultLogger.buildFinished(BuildEvent)",1,3,3
"org.apache.tools.ant.DefaultLogger.buildStarted(BuildEvent)",1,1,1
"org.apache.tools.ant.DefaultLogger.extractProjectName(BuildEvent)",1,2,2
"org.apache.tools.ant.DefaultLogger.formatTime(long)",1,1,1
"org.apache.tools.ant.DefaultLogger.getBuildFailedMessage()",1,1,1
"org.apache.tools.ant.DefaultLogger.getBuildSuccessfulMessage()",1,1,1
"org.apache.tools.ant.DefaultLogger.getTimestamp()",1,1,1
"org.apache.tools.ant.DefaultLogger.log(String)",1,1,1
"org.apache.tools.ant.DefaultLogger.messageLogged(BuildEvent)",6,12,13
"org.apache.tools.ant.DefaultLogger.printMessage(String,PrintStream,int)",1,1,1
"org.apache.tools.ant.DefaultLogger.setEmacsMode(boolean)",1,1,1
"org.apache.tools.ant.DefaultLogger.setErrorPrintStream(PrintStream)",1,1,1
"org.apache.tools.ant.DefaultLogger.setMessageOutputLevel(int)",1,1,1
"org.apache.tools.ant.DefaultLogger.setOutputPrintStream(PrintStream)",1,1,1
"org.apache.tools.ant.DefaultLogger.targetFinished(BuildEvent)",1,1,1
"org.apache.tools.ant.DefaultLogger.targetStarted(BuildEvent)",1,3,3
"org.apache.tools.ant.DefaultLogger.taskFinished(BuildEvent)",1,1,1
