smells_analysis,Sex, 18 mai 2018 16:12:20 BRT
Method,CALL,CALLED,CALLEDp,CDENS,CONTROL,ev(G),EXEC,EXP,IF_NEST,IMP,iv(G),LOC,LOOP,LOOP_NEST,NBD,NCLOC,NP,NTP,RLOC,STAT,v(G)
"org.apache.tools.ant.AntClassLoader.subBuildFinished(BuildEvent)",2,1,1,"50,00%",1,1,1,7,1,n/a,2,14,0,0,1,5,1,0,"0,96%",2,2
"org.apache.tools.ant.AntClassLoader.subBuildStarted(BuildEvent)",0,1,1,"0,00%",0,1,0,0,0,n/a,1,10,0,0,0,2,1,0,"0,68%",0,1
"org.apache.tools.ant.AntClassLoader.targetFinished(BuildEvent)",0,6,6,"0,00%",0,1,0,0,0,n/a,1,8,0,0,0,2,1,0,"0,55%",0,1
"org.apache.tools.ant.AntClassLoader.targetStarted(BuildEvent)",0,4,4,"0,00%",0,1,0,0,0,n/a,1,8,0,0,0,2,1,0,"0,55%",0,1
"org.apache.tools.ant.AntClassLoader.taskFinished(BuildEvent)",0,7,7,"0,00%",0,1,0,0,0,n/a,1,8,0,0,0,2,1,0,"0,55%",0,1
"org.apache.tools.ant.AntClassLoader.taskStarted(BuildEvent)",0,4,4,"0,00%",0,1,0,0,0,n/a,1,8,0,0,0,2,1,0,"0,55%",0,1
"org.apache.tools.ant.AntClassLoader.toString()",1,81,72,"0,00%",0,1,1,5,0,n/a,1,8,0,0,0,4,0,0,"0,55%",1,1
"org.apache.tools.ant.AntTypeDefinition.checkClass(Project)",7,2,2,"44,44%",4,5,5,44,2,n/a,6,29,0,0,2,18,1,0,"8,50%",9,7
"org.apache.tools.ant.AntTypeDefinition.create(Project)",1,4,4,"0,00%",0,1,1,3,0,n/a,1,9,0,0,0,3,1,0,"2,64%",1,1
"org.apache.tools.ant.AntTypeDefinition.createAndSet(Project,Class<?>)",9,4,4,"9,09%",1,1,10,55,0,n/a,3,31,0,0,1,26,2,0,"9,09%",11,7
"org.apache.tools.ant.AntTypeDefinition.extractClassname(Class<?>)",2,4,4,"0,00%",0,1,1,11,0,n/a,2,3,0,0,0,3,1,0,"0,88%",1,2
