Complexity metrics,Seg, 11 dez 2017 18:53:32 BRST
Method,ev(G),iv(G),v(G)
"org.apache.nutch.crawl.TextProfileSignature.calculate(Content,Parse)",4,14,19
"org.apache.nutch.crawl.TextProfileSignature.main(String[])",1,5,5
"org.apache.nutch.crawl.URLPartitioner.close()",1,1,1
"org.apache.nutch.crawl.URLPartitioner.configure(JobConf)",1,4,4
"org.apache.nutch.crawl.URLPartitioner.getPartition(Text,Writable,int)",1,6,6
"org.apache.nutch.fetcher.FetchItem.FetchItem(Text,URL,CrawlDatum,String)",1,1,1
"org.apache.nutch.fetcher.FetchItem.FetchItem(Text,URL,CrawlDatum,String,int)",1,1,1
"org.apache.nutch.fetcher.FetchItem.create(Text,CrawlDatum,String)",1,1,1
"org.apache.nutch.fetcher.FetchItem.create(Text,CrawlDatum,String,int)",2,7,7
"org.apache.nutch.fetcher.FetchItem.getDatum()",1,1,1
"org.apache.nutch.fetcher.FetchItem.getQueueID()",1,1,1
"org.apache.nutch.fetcher.FetchItem.getURL2()",1,1,1
"org.apache.nutch.fetcher.FetchItem.getUrl()",1,1,1
"org.apache.nutch.fetcher.FetchItemQueue.FetchItemQueue(Configuration,int,long,long)",1,1,1
"org.apache.nutch.fetcher.FetchItemQueue.addFetchItem(FetchItem)",2,1,2
"org.apache.nutch.fetcher.FetchItemQueue.addInProgressFetchItem(FetchItem)",2,1,2
"org.apache.nutch.fetcher.FetchItemQueue.dump()",1,2,2
"org.apache.nutch.fetcher.FetchItemQueue.emptyQueue()",1,1,1
"org.apache.nutch.fetcher.FetchItemQueue.finishFetchItem(FetchItem,boolean)",1,2,2
"org.apache.nutch.fetcher.FetchItemQueue.getFetchItem()",4,2,5
"org.apache.nutch.fetcher.FetchItemQueue.getInProgressSize()",1,1,1
"org.apache.nutch.fetcher.FetchItemQueue.getQueueSize()",1,1,1
"org.apache.nutch.fetcher.FetchItemQueue.incrementExceptionCounter()",1,1,1
"org.apache.nutch.fetcher.FetchItemQueue.setEndTime(long)",1,1,1
"org.apache.nutch.fetcher.FetchItemQueue.setEndTime(long,boolean)",1,2,3
"org.apache.nutch.fetcher.FetchItemQueues.FetchItemQueues(Configuration)",1,4,4
"org.apache.nutch.fetcher.FetchItemQueues.addFetchItem(FetchItem)",1,1,1
"org.apache.nutch.fetcher.FetchItemQueues.addFetchItem(Text,CrawlDatum)",1,2,2
"org.apache.nutch.fetcher.FetchItemQueues.checkExceptionThreshold(String)",4,3,6
"org.apache.nutch.fetcher.FetchItemQueues.checkTimelimit()",1,5,5
"org.apache.nutch.fetcher.FetchItemQueues.dump()",3,2,3
"org.apache.nutch.fetcher.FetchItemQueues.emptyQueues()",3,3,4
"org.apache.nutch.fetcher.FetchItemQueues.finishFetchItem(FetchItem)",1,1,1
"org.apache.nutch.fetcher.FetchItemQueues.finishFetchItem(FetchItem,boolean)",2,2,2
"org.apache.nutch.fetcher.FetchItemQueues.getFetchItem()",4,5,5
"org.apache.nutch.fetcher.FetchItemQueues.getFetchItemQueue(String)",1,2,2
"org.apache.nutch.fetcher.FetchItemQueues.getQueueCount()",1,1,1
"org.apache.nutch.fetcher.FetchItemQueues.getTotalSize()",1,1,1
"org.apache.nutch.fetcher.FetchNode.getFetchTime()",1,1,1
