Complexity metrics,Qua, 13 dez 2017 16:37:32 BRST
Method,ev(G),iv(G),v(G)
"net.sourceforge.jvlt.core.Example.clone()",1,2,2
"net.sourceforge.jvlt.core.Example.compareTo(Example)",1,1,1
"net.sourceforge.jvlt.core.Example.equals(Object)",3,1,3
"net.sourceforge.jvlt.core.Example.getHTMLText()",1,3,3
"net.sourceforge.jvlt.core.Example.getID()",1,1,1
"net.sourceforge.jvlt.core.Example.getSenses()",1,3,3
"net.sourceforge.jvlt.core.Example.getText()",1,2,2
"net.sourceforge.jvlt.core.Example.getTextFragments()",1,1,1
"net.sourceforge.jvlt.core.Example.getTranslation()",1,1,1
"net.sourceforge.jvlt.core.Example.insertTextFragmentAfter(TextFragment,TextFragment)",1,1,1
"net.sourceforge.jvlt.core.Example.insertTextFragmentBefore(TextFragment,TextFragment)",1,1,1
"net.sourceforge.jvlt.core.Example.reinit(Reinitializable)",1,1,1
"net.sourceforge.jvlt.core.Example.removeTextFragment(TextFragment)",1,1,1
"net.sourceforge.jvlt.core.Example.setID(String)",1,1,1
"net.sourceforge.jvlt.core.Example.setTranslation(String)",1,1,1
"net.sourceforge.jvlt.core.Example.toString()",1,2,3
"net.sourceforge.jvlt.core.SchemaAttribute.SchemaAttribute(String)",1,1,1
"net.sourceforge.jvlt.core.SchemaAttribute.SchemaAttribute(String,String)",1,1,1
"net.sourceforge.jvlt.core.SchemaAttribute.clone()",1,1,2
"net.sourceforge.jvlt.core.SchemaAttribute.compareTo(SchemaAttribute)",2,2,2
"net.sourceforge.jvlt.core.SchemaAttribute.equals(Object)",3,2,4
"net.sourceforge.jvlt.core.SchemaAttribute.getGroup()",1,1,1
"net.sourceforge.jvlt.core.SchemaAttribute.getName()",1,1,1
"net.sourceforge.jvlt.core.SchemaAttribute.getValue()",1,1,1
"net.sourceforge.jvlt.core.SchemaAttribute.setValue(Object)",1,1,1
"net.sourceforge.jvlt.core.SchemaAttribute.toString()",1,4,4
"net.sourceforge.jvlt.core.Sense.Comparator.compare(Sense,Sense)",2,2,2
"net.sourceforge.jvlt.core.Sense.Comparator.equals(Object)",1,1,1
"net.sourceforge.jvlt.core.Sense.Sense()",1,1,1
"net.sourceforge.jvlt.core.Sense.Sense(String,String)",1,1,1
"net.sourceforge.jvlt.core.Sense.Sense(String,String,Entry)",1,1,1
"net.sourceforge.jvlt.core.Sense.addCustomField(String,String)",1,1,1
"net.sourceforge.jvlt.core.Sense.clone()",1,1,1
"net.sourceforge.jvlt.core.Sense.compareTo(Sense)",5,4,5
"net.sourceforge.jvlt.core.Sense.equals(Object)",3,1,3
"net.sourceforge.jvlt.core.Sense.getCustomFields()",1,1,1
"net.sourceforge.jvlt.core.Sense.getDefinition()",1,1,1
"net.sourceforge.jvlt.core.Sense.getID()",4,2,4
"net.sourceforge.jvlt.core.Sense.getParent()",1,1,1
"net.sourceforge.jvlt.core.Sense.getTranslation()",1,1,1
"net.sourceforge.jvlt.core.Sense.reinit(Reinitializable)",1,1,1
"net.sourceforge.jvlt.core.Sense.setCustomFields(StringPair[])",1,1,1
"net.sourceforge.jvlt.core.Sense.setDefinition(String)",1,1,1
"net.sourceforge.jvlt.core.Sense.setParent(Entry)",1,1,1
"net.sourceforge.jvlt.core.Sense.setTranslation(String)",1,1,1
"net.sourceforge.jvlt.core.Sense.toString()",1,4,6
"net.sourceforge.jvlt.core.StringPair.StringPair(String,String)",1,1,1
"net.sourceforge.jvlt.core.StringPair.getFirst()",1,1,1
"net.sourceforge.jvlt.core.StringPair.getSecond()",1,1,1
"net.sourceforge.jvlt.event.ComponentReplacementListener.ComponentReplacementEvent.ComponentReplacementEvent(JComponent,JComponent)",1,1,1
"net.sourceforge.jvlt.event.ComponentReplacementListener.ComponentReplacementEvent.getNewComponent()",1,1,1
"net.sourceforge.jvlt.event.ComponentReplacementListener.ComponentReplacementEvent.getOldComponent()",1,1,1
"net.sourceforge.jvlt.event.CopyPastePopupListener.CopyPastePopupListener(JTextComponent)",1,3,3
"net.sourceforge.jvlt.event.CopyPastePopupListener.handlePopupEvent(MouseEvent)",1,6,6
"net.sourceforge.jvlt.event.DialogListener.DialogEvent.DialogEvent(Object,int)",1,1,1
"net.sourceforge.jvlt.event.DialogListener.DialogEvent.getType()",1,1,1
"net.sourceforge.jvlt.event.DictUpdateListener.DictUpdateEvent.DictUpdateEvent(int)",1,1,1
"net.sourceforge.jvlt.event.DictUpdateListener.DictUpdateEvent.getType()",1,1,1
"net.sourceforge.jvlt.event.DictUpdateListener.EntryDictUpdateEvent.EntryDictUpdateEvent(int,Collection<Entry>)",1,1,1
"net.sourceforge.jvlt.event.DictUpdateListener.EntryDictUpdateEvent.getEntries()",1,1,1
"net.sourceforge.jvlt.event.DictUpdateListener.ExampleDictUpdateEvent.ExampleDictUpdateEvent(int,Collection<Example>)",1,1,1
"net.sourceforge.jvlt.event.DictUpdateListener.ExampleDictUpdateEvent.getExamples()",1,1,1
"net.sourceforge.jvlt.event.DictUpdateListener.LanguageDictUpdateEvent.LanguageDictUpdateEvent(String)",1,1,1
"net.sourceforge.jvlt.event.DictUpdateListener.LanguageDictUpdateEvent.getLanguage()",1,1,1
"net.sourceforge.jvlt.event.DictUpdateListener.NewDictDictUpdateEvent.NewDictDictUpdateEvent(Dict)",1,1,1
"net.sourceforge.jvlt.event.DictUpdateListener.NewDictDictUpdateEvent.getDict()",1,1,1
"net.sourceforge.jvlt.event.FilterListener.FilterEvent.FilterEvent(Object)",1,1,1
"net.sourceforge.jvlt.event.FilterListener.FilterEvent.FilterEvent(Object,Collection<T>)",1,1,1
"net.sourceforge.jvlt.event.FilterListener.FilterEvent.getMatchedItems()",1,1,1
"net.sourceforge.jvlt.event.ModelResetEventListener.ModelResetEvent.ModelResetEvent(AbstractModel)",1,1,1
"net.sourceforge.jvlt.event.ModelResetEventListener.ModelResetEvent.ModelResetEvent(AbstractModel,int)",1,1,1
"net.sourceforge.jvlt.event.ModelResetEventListener.ModelResetEvent.getSource()",1,1,1
"net.sourceforge.jvlt.event.ModelResetEventListener.ModelResetEvent.getType()",1,1,1
"net.sourceforge.jvlt.event.PopupListener.handlePopupEvent(MouseEvent)",1,3,3
"net.sourceforge.jvlt.event.PopupListener.mouseClicked(MouseEvent)",1,1,1
"net.sourceforge.jvlt.event.PopupListener.mousePressed(MouseEvent)",1,1,1
"net.sourceforge.jvlt.event.PopupListener.mouseReleased(MouseEvent)",1,1,1
"net.sourceforge.jvlt.event.PopupListener.setPopupMenu(JPopupMenu)",1,1,1
"net.sourceforge.jvlt.event.SelectionListener.SelectionEvent.SelectionEvent(Object)",1,1,1
"net.sourceforge.jvlt.event.SelectionListener.SelectionEvent.SelectionEvent(Object,Object)",1,1,1
"net.sourceforge.jvlt.event.SelectionListener.SelectionEvent.getElement()",1,1,1
"net.sourceforge.jvlt.event.SelectionListener.SelectionEvent.getSource()",1,1,1
"net.sourceforge.jvlt.event.SelectionNotifier.SelectionNotifier()",1,1,1
"net.sourceforge.jvlt.event.SelectionNotifier.addSelectionListener(SelectionListener)",1,1,1
"net.sourceforge.jvlt.event.SelectionNotifier.fireSelectionEvent(SelectionEvent)",1,2,2
"net.sourceforge.jvlt.event.SelectionNotifier.removeSelectionListener(SelectionListener)",1,1,1
"net.sourceforge.jvlt.event.StateListener.StateEvent.StateEvent(Object,int)",1,1,1
"net.sourceforge.jvlt.event.StateListener.StateEvent.getState()",1,1,1
"net.sourceforge.jvlt.event.UndoableActionListener.UndoableActionEvent.UndoableActionEvent(UndoableAction,int)",1,1,1
"net.sourceforge.jvlt.event.UndoableActionListener.UndoableActionEvent.getAction()",1,1,1
"net.sourceforge.jvlt.event.UndoableActionListener.UndoableActionEvent.getType()",1,1,1
"net.sourceforge.jvlt.io.AbstractHandler.AbstractHandler(Dict)",1,1,1
"net.sourceforge.jvlt.io.AbstractHandler.AbstractHandler(Dict,String)",1,1,1
"net.sourceforge.jvlt.io.AbstractHandler.characters(char[],int,int)",1,1,2
"net.sourceforge.jvlt.io.AbstractHandler.getChars()",2,1,2
"net.sourceforge.jvlt.io.AbstractHandler.getSAXException(String,String)",1,1,1
"net.sourceforge.jvlt.io.AbstractHandler.setDocumentLocator(Locator)",1,1,1
"net.sourceforge.jvlt.io.CSVDictReader.CSVDictReader()",1,2,2
"net.sourceforge.jvlt.io.CSVDictReader.getAttribute(int)",3,1,3
"net.sourceforge.jvlt.io.CSVDictReader.processRow(Collection<String>)",40,42,59
"net.sourceforge.jvlt.io.CSVDictReader.read(InputStream)",10,13,17
"net.sourceforge.jvlt.io.CSVDictReader.setAttributeColumns(int[])",1,1,1
"net.sourceforge.jvlt.io.CSVDictReader.setAttributes(String[])",1,1,1
"net.sourceforge.jvlt.io.CSVDictReader.setCharset(String)",1,1,1
"net.sourceforge.jvlt.io.CSVDictReader.setFieldDelimiter(char)",1,1,1
"net.sourceforge.jvlt.io.CSVDictReader.setIgnoreFirstLine(boolean)",1,1,1
"net.sourceforge.jvlt.io.CSVDictReader.setLanguage(String)",1,1,1
"net.sourceforge.jvlt.io.CSVDictReader.setNumCategories(int)",1,1,1
"net.sourceforge.jvlt.io.CSVDictReader.setNumExamples(int)",1,1,1
"net.sourceforge.jvlt.io.CSVDictReader.setNumMultimediaFiles(int)",1,1,1
"net.sourceforge.jvlt.io.CSVDictReader.setNumSenses(int)",1,1,1
"net.sourceforge.jvlt.io.CSVDictReader.setTextDelimiter(char)",1,1,1
"net.sourceforge.jvlt.io.DictCSVWriter.DictCSVWriter(Dict,OutputStream)",1,1,1
"net.sourceforge.jvlt.io.DictCSVWriter.getField(String)",1,1,1
"net.sourceforge.jvlt.io.DictCSVWriter.setCharset(String)",1,1,1
"net.sourceforge.jvlt.io.DictCSVWriter.setFieldDelimiter(char)",1,1,1
"net.sourceforge.jvlt.io.DictCSVWriter.setTextDelimiter(char)",1,1,1
"net.sourceforge.jvlt.io.DictCSVWriter.write()",1,13,15
"net.sourceforge.jvlt.io.DictCSVWriter.writeEntry(Writer,DictInfo,Entry)",4,17,18
"net.sourceforge.jvlt.io.DictHandler.DictHandler(Dict)",1,1,1
"net.sourceforge.jvlt.io.DictHandler.DictHandler(Dict,String)",1,1,1
"net.sourceforge.jvlt.io.DictHandler.endDocument()",4,7,8
"net.sourceforge.jvlt.io.DictHandler.endElement(String,String,String)",6,40,43
"net.sourceforge.jvlt.io.DictHandler.getAttributeChoice(ChoiceSchemaAttribute,String)",2,2,2
"net.sourceforge.jvlt.io.DictHandler.startElement(String,String,String,Attributes)",19,34,35
"net.sourceforge.jvlt.io.DictHtmlWriter.DictHtmlWriter(Dict,OutputStream)",1,1,1
"net.sourceforge.jvlt.io.DictHtmlWriter.setAddReverse(boolean)",1,1,1
"net.sourceforge.jvlt.io.DictHtmlWriter.write()",1,3,3
"net.sourceforge.jvlt.io.DictImporter.DictImporter(Dict)",1,1,1
"net.sourceforge.jvlt.io.DictImporter.getImportInfo(Dict)",6,9,10
"net.sourceforge.jvlt.io.DictImporter.getImportedEntries(Dict)",1,3,3
"net.sourceforge.jvlt.io.DictImporter.getImportedExamples(Dict,Collection<Entry>)",6,7,8
"net.sourceforge.jvlt.io.DictImporter.setClearStats(boolean)",1,1,1
"net.sourceforge.jvlt.io.DictReader.DictReader()",1,1,1
"net.sourceforge.jvlt.io.DictReader.DictReader(String)",1,1,1
"net.sourceforge.jvlt.io.DictReader.getDict()",1,1,1
"net.sourceforge.jvlt.io.DictReaderException.DictReaderException(String)",1,1,1
"net.sourceforge.jvlt.io.DictReaderException.DictReaderException(String,Exception)",1,1,1
"net.sourceforge.jvlt.io.DictReaderException.DictReaderException(String,String)",1,1,1
"net.sourceforge.jvlt.io.DictReaderException.DictReaderException(String,String,Exception)",1,1,1
"net.sourceforge.jvlt.io.DictReaderException.getException()",1,1,1
"net.sourceforge.jvlt.io.DictWriter.DictWriter(Dict,OutputStream)",1,1,1
"net.sourceforge.jvlt.io.DictXMLWriter.DictXMLWriter(Dict,OutputStream)",1,1,1
