Martin packaging metrics,Seg, 4 dez 2017 18:31:24 BRST
Package,A,Ca,Ce,D,I
"itests.util.src.main.java.org.apache.hadoop.hive.ql.io.udf","0,00",2,4,"0,33","0,75"
"itests.util.src.main.java.org.apache.hadoop.hive.ql.metadata","0,00",1,10,"0,09","0,91"
"itests.util.src.main.java.org.apache.hadoop.hive.ql.security","0,00",3,12,"0,20","1,00"
"itests.util.src.main.java.org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd","0,00",0,9,"0,00","1,00"
"itests.util.src.main.java.org.apache.hadoop.hive.ql.stats","0,00",0,5,"0,00","1,00"
"itests.util.src.main.java.org.apache.hadoop.hive.ql.udf","0,00",0,13,"0,00","1,00"
"itests.util.src.main.java.org.apache.hadoop.hive.ql.udf.generic","0,00",2,31,"0,06","1,00"
"itests.util.src.main.java.org.apache.hadoop.hive.scripts","0,00",0,0,"0,00","1,00"
"jdbc.src.java.org.apache.hadoop.hive.jdbc","0,12",2,20,"0,03","1,00"
"jdbc.src.java.org.apache.hive.jdbc","0,10",9,23,"0,19","0,77"
"metastore.src.gen.thrift.gen-javabean.org.apache.hadoop.hive.metastore.api","0,00",1.102,457,"0,71","0,13"
"metastore.src.java.org.apache.hadoop.hive.metastore","0,28",188,123,"0,32","0,38"
"metastore.src.java.org.apache.hadoop.hive.metastore.events","0,08",79,42,"0,57","0,36"
"metastore.src.java.org.apache.hadoop.hive.metastore.hooks","1,00",3,0,"0,00","0,00"
"metastore.src.java.org.apache.hadoop.hive.metastore.parser","0,00",15,14,"0,52","0,60"
"metastore.src.java.org.apache.hadoop.hive.metastore.tools","0,00",1,2,"0,33","0,67"
"metastore.src.java.org.apache.hadoop.hive.metastore.txn","0,00",16,10,"0,62","0,42"
"metastore.src.model.org.apache.hadoop.hive.metastore.model","0,00",34,0,"1,00","0,00"
"metastore.src.test.org.apache.hadoop.hive.metastore","0,00",0,19,"0,00","1,00"
"metastore.src.test.org.apache.hadoop.hive.metastore.txn","0,00",0,2,"0,00","1,00"
"ql.src.gen.protobuf.gen-java.org.apache.hadoop.hive.ql.io.orc","0,31",70,42,"0,32","1,00"
"ql.src.gen.thrift.gen-javabean.org.apache.hadoop.hive.ql.plan.api","0,00",58,35,"0,62","0,23"
"ql.src.java.org.apache.hadoop.hive.ql","0,15",120,49,"0,56","0,29"
"ql.src.java.org.apache.hadoop.hive.ql.debug","0,00",1,0,"1,00","0,00"
"ql.src.java.org.apache.hadoop.hive.ql.exec","0,15",566,612,"0,33","0,53"
"ql.src.java.org.apache.hadoop.hive.ql.exec.errors","0,25",3,4,"0,18","0,67"
"ql.src.java.org.apache.hadoop.hive.ql.exec.mapjoin","0,00",2,3,"0,40","0,60"
"ql.src.java.org.apache.hadoop.hive.ql.exec.mr","0,06",44,77,"0,30","0,65"
"ql.src.java.org.apache.hadoop.hive.ql.exec.persistence","0,26",47,114,"0,03","0,73"
"ql.src.java.org.apache.hadoop.hive.ql.exec.tez","0,05",11,68,"0,09","0,87"
"ql.src.java.org.apache.hadoop.hive.ql.exec.tez.tools","0,00",4,3,"0,57","0,40"
"ql.src.java.org.apache.hadoop.hive.ql.exec.vector","0,29",107,145,"0,14","0,59"
"ql.src.java.org.apache.hadoop.hive.ql.exec.vector.expressions","0,19",152,183,"0,26","0,54"
"ql.src.java.org.apache.hadoop.hive.ql.exec.vector.expressions.aggregates","0,20",12,47,"0,00","0,88"
"ql.src.java.org.apache.hadoop.hive.ql.exec.vector.udf","0,00",4,16,"0,20","0,80"
"ql.src.java.org.apache.hadoop.hive.ql.history","0,17",22,13,"0,46","0,45"
"ql.src.java.org.apache.hadoop.hive.ql.hooks","0,13",83,48,"0,50","0,44"
"ql.src.java.org.apache.hadoop.hive.ql.index","0,27",38,59,"0,13","0,65"
"ql.src.java.org.apache.hadoop.hive.ql.index.bitmap","0,17",4,16,"0,03","0,80"
"ql.src.java.org.apache.hadoop.hive.ql.index.compact","0,00",2,13,"0,13","0,87"
"ql.src.java.org.apache.hadoop.hive.ql.io","0,21",241,131,"0,44","0,37"
"ql.src.java.org.apache.hadoop.hive.ql.io.avro","0,00",4,8,"0,33","0,67"
"ql.src.java.org.apache.hadoop.hive.ql.io.merge","0,40",7,20,"0,14","0,74"
"ql.src.java.org.apache.hadoop.hive.ql.io.orc","0,18",145,275,"0,17","0,74"
"ql.src.java.org.apache.hadoop.hive.ql.io.parquet","0,00",4,17,"0,19","0,82"
"ql.src.java.org.apache.hadoop.hive.ql.io.parquet.convert","0,43",4,14,"0,21","0,82"
"ql.src.java.org.apache.hadoop.hive.ql.io.parquet.read","0,00",2,7,"0,22","0,78"
"ql.src.java.org.apache.hadoop.hive.ql.io.parquet.serde","0,12",7,19,"0,14","0,78"
"ql.src.java.org.apache.hadoop.hive.ql.io.parquet.serde.primitive","0,00",2,7,"0,22","0,78"
"ql.src.java.org.apache.hadoop.hive.ql.io.parquet.timestamp","0,00",6,0,"1,00","0,00"
"ql.src.java.org.apache.hadoop.hive.ql.io.parquet.write","0,00",4,2,"0,67","0,33"
"ql.src.java.org.apache.hadoop.hive.ql.io.rcfile.merge","0,00",9,7,"0,56","0,44"
"ql.src.java.org.apache.hadoop.hive.ql.io.rcfile.stats","0,00",5,23,"0,18","0,82"
"ql.src.java.org.apache.hadoop.hive.ql.io.rcfile.truncate","0,00",3,20,"0,13","0,87"
"ql.src.java.org.apache.hadoop.hive.ql.io.sarg","0,23",28,16,"0,41","0,40"
"ql.src.java.org.apache.hadoop.hive.ql.lib","0,38",163,18,"0,53","0,10"
"ql.src.java.org.apache.hadoop.hive.ql.lockmgr","0,22",36,29,"0,33","0,48"
"ql.src.java.org.apache.hadoop.hive.ql.lockmgr.zookeeper","0,00",2,6,"0,25","0,86"
"ql.src.java.org.apache.hadoop.hive.ql.log","0,00",7,2,"0,78","0,22"
"ql.src.java.org.apache.hadoop.hive.ql.metadata","0,13",236,72,"0,64","0,24"
"ql.src.java.org.apache.hadoop.hive.ql.metadata.formatting","0,17",5,22,"0,02","0,81"
"ql.src.java.org.apache.hadoop.hive.ql.optimizer","0,08",111,535,"0,09","0,85"
"ql.src.java.org.apache.hadoop.hive.ql.optimizer.correlation","0,13",12,56,"0,04","0,90"
"ql.src.java.org.apache.hadoop.hive.ql.optimizer.index","0,00",7,53,"0,12","0,92"
"ql.src.java.org.apache.hadoop.hive.ql.optimizer.lineage","0,00",17,92,"0,16","0,88"
"ql.src.java.org.apache.hadoop.hive.ql.optimizer.listbucketingpruner","0,00",8,48,"0,14","0,89"
"ql.src.java.org.apache.hadoop.hive.ql.optimizer.metainfo.annotation","0,00",9,41,"0,18","0,83"
"ql.src.java.org.apache.hadoop.hive.ql.optimizer.pcr","0,00",12,49,"0,20","0,86"
"ql.src.java.org.apache.hadoop.hive.ql.optimizer.physical","0,06",56,261,"0,11","0,89"
"ql.src.java.org.apache.hadoop.hive.ql.optimizer.physical.index","0,00",2,23,"0,08","0,92"
"ql.src.java.org.apache.hadoop.hive.ql.optimizer.ppr","0,00",7,47,"0,13","0,89"
"ql.src.java.org.apache.hadoop.hive.ql.optimizer.stats.annotation","0,00",10,70,"0,12","0,86"
"ql.src.java.org.apache.hadoop.hive.ql.optimizer.unionproc","0,00",12,34,"0,26","0,74"
"ql.src.java.org.apache.hadoop.hive.ql.parse","0,07",258,400,"0,32","0,62"
"ql.src.java.org.apache.hadoop.hive.ql.parse.authorization","0,33",3,16,"0,18","0,84"
"ql.src.java.org.apache.hadoop.hive.ql.plan","0,04",708,178,"0,76","0,21"
"ql.src.java.org.apache.hadoop.hive.ql.plan.ptf","0,12",52,16,"0,64","0,24"
"ql.src.java.org.apache.hadoop.hive.ql.ppd","0,00",20,108,"0,16","0,92"
"ql.src.java.org.apache.hadoop.hive.ql.processors","0,08",36,39,"0,40","0,52"
"ql.src.java.org.apache.hadoop.hive.ql.security","0,29",19,12,"0,33","0,39"
"ql.src.java.org.apache.hadoop.hive.ql.security.authorization","0,23",40,56,"0,19","0,55"
"ql.src.java.org.apache.hadoop.hive.ql.security.authorization.plugin","0,19",98,29,"0,58","0,27"
"ql.src.java.org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd","0,00",10,38,"0,21","0,84"
"ql.src.java.org.apache.hadoop.hive.ql.session","0,00",100,27,"0,79","0,28"
"ql.src.java.org.apache.hadoop.hive.ql.stats","0,44",28,20,"0,14","0,42"
"ql.src.java.org.apache.hadoop.hive.ql.stats.fs","0,00",0,6,"0,00","1,00"
"ql.src.java.org.apache.hadoop.hive.ql.stats.jdbc","0,00",0,7,"0,00","1,00"
"ql.src.java.org.apache.hadoop.hive.ql.tools","0,00",2,2,"0,50","0,50"
"ql.src.java.org.apache.hadoop.hive.ql.txn.compactor","0,08",9,32,"0,14","0,96"
"ql.src.java.org.apache.hadoop.hive.ql.udf","0,06",135,139,"0,44","0,50"
"ql.src.java.org.apache.hadoop.hive.ql.udf.generic","0,12",310,860,"0,14","0,77"
"ql.src.java.org.apache.hadoop.hive.ql.udf.ptf","0,12",40,144,"0,10","0,74"
"ql.src.java.org.apache.hadoop.hive.ql.udf.xml","0,00",10,13,"0,43","0,62"
"ql.src.java.org.apache.hadoop.hive.ql.util","0,50",7,1,"0,38","0,12"
"ql.src.test.org.apache.hadoop.hive.metastore","0,00",1,12,"0,08","1,00"
"ql.src.test.org.apache.hadoop.hive.ql","0,00",2,1,"0,67","0,33"
"ql.src.test.org.apache.hadoop.hive.ql.exec","0,00",1,47,"0,02","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.exec.errors","0,00",0,1,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.exec.mapjoin","0,00",0,1,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.exec.persistence","0,00",3,21,"0,12","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.exec.tez","0,00",3,12,"0,20","0,91"
"ql.src.test.org.apache.hadoop.hive.ql.exec.vector","0,12",11,48,"0,07","0,97"
"ql.src.test.org.apache.hadoop.hive.ql.exec.vector.expressions","0,00",1,45,"0,02","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.exec.vector.udf","0,00",0,9,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.exec.vector.udf.generic","0,00",1,4,"0,20","0,80"
"ql.src.test.org.apache.hadoop.hive.ql.exec.vector.udf.legacy","0,00",2,2,"0,50","0,50"
"ql.src.test.org.apache.hadoop.hive.ql.exec.vector.util","0,15",23,44,"0,19","0,78"
"ql.src.test.org.apache.hadoop.hive.ql.io","0,00",4,30,"0,12","0,97"
"ql.src.test.org.apache.hadoop.hive.ql.io.orc","0,00",49,103,"0,32","0,98"
"ql.src.test.org.apache.hadoop.hive.ql.io.parquet","0,00",0,7,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.io.parquet.serde","0,00",1,10,"0,09","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.io.parquet.serde.primitive","0,00",0,2,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.io.sarg","0,00",1,4,"0,20","0,80"
"ql.src.test.org.apache.hadoop.hive.ql.lockmgr","0,00",2,15,"0,12","0,92"
"ql.src.test.org.apache.hadoop.hive.ql.lockmgr.zookeeper","0,00",0,2,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.metadata","0,00",1,17,"0,06","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.optimizer.listbucketingpruner","0,00",0,1,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.optimizer.physical","0,00",1,6,"0,14","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.parse","0,00",0,30,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.parse.authorization","0,00",2,40,"0,05","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.parse.authorization.plugin.sqlstd","0,00",0,2,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.plan","0,00",1,14,"0,07","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.processors","0,00",0,2,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.security.authorization.plugin","0,00",0,1,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd","0,00",0,6,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.session","0,00",1,3,"0,25","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.testutil","0,33",3,10,"0,10","0,77"
"ql.src.test.org.apache.hadoop.hive.ql.tool","0,00",0,1,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.txn.compactor","0,11",6,22,"0,10","0,92"
"ql.src.test.org.apache.hadoop.hive.ql.udaf","0,20",1,35,"0,17","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.udf","0,00",0,27,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.udf.generic","0,04",0,163,"0,04","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.udf.xml","0,00",0,1,"0,00","1,00"
"ql.src.test.org.apache.hadoop.hive.ql.util","0,00",0,0,"0,00","1,00"
"serde.src.gen.protobuf.gen-java.org.apache.hadoop.hive.serde2.proto.test","0,00",3,1,"0,75","1,00"
"serde.src.gen.thrift.gen-javabean.org.apache.hadoop.hive.serde","0,00",74,0,"1,00","0,00"
"serde.src.gen.thrift.gen-javabean.org.apache.hadoop.hive.serde.test","0,00",12,10,"0,55","0,50"
"serde.src.gen.thrift.gen-javabean.org.apache.hadoop.hive.serde2.thrift.test","0,00",31,20,"0,61","0,27"
"serde.src.java.org.apache.hadoop.hive.serde","0,00",0,0,"0,00","1,00"
"serde.src.java.org.apache.hadoop.hive.serde2","0,43",227,36,"0,43","0,13"
"serde.src.java.org.apache.hadoop.hive.serde2.avro","0,07",9,22,"0,22","0,76"
"serde.src.java.org.apache.hadoop.hive.serde2.binarysortable","0,00",2,8,"0,20","0,80"
"serde.src.java.org.apache.hadoop.hive.serde2.columnar","0,30",33,25,"0,27","0,41"
"serde.src.java.org.apache.hadoop.hive.serde2.dynamic_type","0,08",3,46,"0,02","0,96"
"serde.src.java.org.apache.hadoop.hive.serde2.io","0,10",183,16,"0,82","0,08"
"serde.src.java.org.apache.hadoop.hive.serde2.lazy","0,14",142,64,"0,55","0,32"
"serde.src.java.org.apache.hadoop.hive.serde2.lazy.objectinspector","0,00",22,9,"0,71","0,29"
"serde.src.java.org.apache.hadoop.hive.serde2.lazy.objectinspector.primitive","0,06",45,68,"0,34","0,60"
"serde.src.java.org.apache.hadoop.hive.serde2.lazybinary","0,10",24,86,"0,12","0,83"
"serde.src.java.org.apache.hadoop.hive.serde2.lazybinary.objectinspector","0,00",7,7,"0,50","0,50"
"serde.src.java.org.apache.hadoop.hive.serde2.lazydio","0,00",8,21,"0,28","0,72"
"serde.src.java.org.apache.hadoop.hive.serde2.objectinspector","0,26",543,37,"0,68","0,06"
"serde.src.java.org.apache.hadoop.hive.serde2.objectinspector.primitive","0,33",362,149,"0,38","0,28"
"serde.src.java.org.apache.hadoop.hive.serde2.thrift","0,33",10,10,"0,17","0,44"
