Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"android.text.style.UpdateAppearance",0,0,0,9,2.395
"android.text.style.UpdateLayout",0,1,1,3,2.394
"android.text.style.WrapTogetherSpan",0,1,1,3,2.389
"android.text.util.Linkify.MatchFilter",0,0,0,1,2.386
"android.text.util.Linkify.TransformFilter",0,0,0,1,2.386
"android.util.AttributeSet",0,0,0,188,2.390
"android.util.Log.TerribleFailureHandler",0,1,1,1,2.386
"android.util.Pool",0,1,1,6,2.389
"android.util.Poolable",0,0,0,8,2.391
"android.util.PoolableManager",0,1,1,2,2.388
"android.util.Printer",0,0,0,34,2.394
"android.view.ActionMode.Callback",1.027,3,1.415,18,2.385
"android.view.ContextMenu",1.027,2,1.415,11,2.385
"android.view.ContextMenu.ContextMenuInfo",0,0,0,16,2.386
"android.view.FallbackEventHandler",1.027,2,1.415,3,2.385
"android.view.GestureDetector.OnDoubleTapListener",0,1,1.416,3,20
"android.view.GestureDetector.OnGestureListener",0,1,1.416,4,20
"android.view.HardwareRenderer.HardwareDrawCallbacks",0,0,0,3,2.386
"android.view.InputHandler",1.027,3,1.415,4,2.385
"android.view.InputQueue.Callback",1.027,1,1.415,4,2.385
"android.view.KeyEvent.Callback",1.027,1,1.415,5,2.385
"android.view.LayoutInflater.Factory",1.027,3,1.415,3,2.385
"android.view.LayoutInflater.Factory2",1.027,4,1.415,3,2.385
"android.view.LayoutInflater.Filter",0,0,0,3,2.386
"android.view.Menu",1.027,5,1.415,28,2.385
"android.view.MenuItem",1.027,5,1.415,32,2.385
"android.view.MenuItem.OnMenuItemClickListener",1.027,1,1.415,6,2.385
"android.view.ScaleGestureDetector.OnScaleGestureListener",1.027,1,1.415,3,2.385
"android.view.SubMenu",1.027,3,1.415,11,2.385
"android.view.SurfaceHolder",1.027,2,1.415,14,2.385
"android.view.SurfaceHolder.Callback",1.027,1,1.415,7,2.385
"android.view.SurfaceHolder.Callback2",1.027,2,1.415,6,2.385
"android.view.View.AttachInfo.Callbacks",0,0,0,3,2.386
"android.view.View.OnClickListener",1.027,1,1.415,37,2.385
"android.view.View.OnCreateContextMenuListener",1.027,3,1.415,6,2.385
"android.view.View.OnDragListener",1.027,2,1.415,1,2.385
"android.view.View.OnFocusChangeListener",1.027,1,1.415,3,2.385
"android.view.View.OnKeyListener",1.027,2,1.415,5,2.385
"android.view.View.OnLayoutChangeListener",1.027,1,1.415,2,2.385
"android.view.View.OnLongClickListener",1.027,1,1.415,4,2.385
"android.view.View.OnTouchListener",1.027,2,1.415,7,2.385
"android.view.ViewDebug.ViewOperation",0,0,0,1,2.386
"android.view.ViewGroup.OnHierarchyChangeListener",1.027,1,1.415,8,2.385
"android.view.ViewManager",1.027,2,1.415,9,2.385
"android.view.ViewParent",1.027,4,1.415,20,2.385
"android.view.ViewStub.OnInflateListener",1,2,1.417,1,2
"android.view.ViewTreeObserver.OnComputeInternalInsetsListener",0,1,1,2,2.386
"android.view.ViewTreeObserver.OnGlobalFocusChangeListener",1.027,1,1.415,3,2.385
"android.view.ViewTreeObserver.OnGlobalLayoutListener",0,0,0,6,2.386
"android.view.ViewTreeObserver.OnPreDrawListener",0,0,0,3,2.386
"android.view.ViewTreeObserver.OnScrollChangedListener",0,0,0,4,2.386
"android.view.ViewTreeObserver.OnTouchModeChangeListener",0,0,0,4,2.386
"android.view.Window.Callback",1.027,9,1.415,3,2.385
"android.view.WindowManager",1.027,3,1.415,41,2.385
"android.view.WindowManagerPolicy",1.027,10,1.415,2,2.385
"android.view.WindowManagerPolicy.OnKeyguardExitResult",0,0,0,1,2.386
"android.view.WindowManagerPolicy.WindowState",1.027,1,1.415,1,2.385
"android.view.accessibility.AccessibilityEventSource",1.027,1,1.415,1,2.385
"android.view.animation.Animation.AnimationListener",1.027,1,1.415,4,2.385
"android.view.animation.Interpolator",0,1,1,19,2.386
"android.view.inputmethod.InputConnection",1.027,6,1.415,18,2.385
"android.view.inputmethod.InputMethod",1.027,9,1.415,5,2.385
"android.view.inputmethod.InputMethod.SessionCallback",1.027,1,1.415,3,2.385
"android.view.inputmethod.InputMethodSession",1.027,6,1.415,7,2.385
"android.view.inputmethod.InputMethodSession.EventCallback",0,0,0,3,2.387
"android.webkit.DownloadListener",0,0,0,2,2.386
"android.webkit.GeolocationPermissions.Callback",0,0,0,2,2.386
"android.webkit.Plugin.PreferencesClickHandler",1.027,1,1.415,2,2.385
"android.webkit.PluginStub",0,2,1.416,0,0
"android.webkit.UrlInterceptHandler",0,2,2,2,3
"android.webkit.ValueCallback",0,0,0,9,2.387
"android.webkit.WebChromeClient.CustomViewCallback",0,0,0,2,2.386
"android.webkit.WebIconDatabase.IconListener",0,0,0,4,2.387
"android.webkit.WebStorage.QuotaUpdater",0,0,0,2,2.386
"android.webkit.WebView.PictureListener",1.027,1,1.415,2,2.385
"android.webkit.ZoomControlBase",0,0,0,3,2.386
"android.widget.AbsListView.MultiChoiceModeListener",1.027,2,1.415,2,2.385
"android.widget.AbsListView.OnScrollListener",1.027,1,1.415,10,2.385
"android.widget.AbsListView.RecyclerListener",1.027,1,1.415,2,2.385
"android.widget.AbsListView.SelectionBoundsAdjuster",0,0,0,1,2.386
"android.widget.Adapter",1.027,4,1.415,52,2.385
"android.widget.AdapterView.OnItemClickListener",1.027,2,1.415,17,2.385
"android.widget.AdapterView.OnItemLongClickListener",1.027,2,1.415,3,2.385
"android.widget.AdapterView.OnItemSelectedListener",1.027,2,1.415,11,2.385
"android.widget.Adapters.ManagedAdapter",0,0,0,2,2.386
"android.widget.Advanceable",0,0,0,1,2.386
"android.widget.AutoCompleteTextView.Validator",0,0,0,2,2.386
"android.widget.CalendarView.OnDateChangeListener",4,1,1.426,1,8
"android.widget.Checkable",0,0,0,6,2.386
"android.widget.Chronometer.OnChronometerTickListener",1,1,1.417,2,2
"android.widget.CompoundButton.OnCheckedChangeListener",1,1,1.418,4,14
"android.widget.CursorFilter.CursorFilterClient",1.027,1,1.415,3,2.385
"android.widget.DatePicker.OnDateChangedListener",1,1,1.437,2,3
"android.widget.DoubleDigitManager.CallBack",0,0,0,1,1
"android.widget.ExpandableListAdapter",1.027,3,1.415,5,2.385
"android.widget.ExpandableListView.OnChildClickListener",1.027,2,1.415,2,2.385
"android.widget.ExpandableListView.OnGroupClickListener",1.027,2,1.415,1,2.385
"android.widget.ExpandableListView.OnGroupCollapseListener",0,0,0,2,2.386
"android.widget.ExpandableListView.OnGroupExpandListener",0,0,0,2,2.386
"android.widget.Filter.Delayer",0,0,0,1,2.386
"android.widget.Filter.FilterListener",0,0,0,5,2.387
"android.widget.FilterQueryProvider",1.027,1,1.415,2,2.385
"android.widget.Filterable",1.027,1,1.415,9,2.385
"android.widget.HeterogeneousExpandableList",0,0,0,2,2.386
"android.widget.ListAdapter",1.027,1,1.415,36,2.385
"android.widget.MediaController.MediaPlayerControl",0,0,0,2,6
"android.widget.MultiAutoCompleteTextView.Tokenizer",0,0,0,3,4
"android.widget.NumberPicker.Formatter",0,0,0,1,15
"android.widget.NumberPicker.OnScrollListener",6,1,1.423,1,14
"android.widget.NumberPicker.OnValueChangedListener",6,1,1.423,2,14
"android.widget.PopupMenu.OnMenuItemClickListener",0,1,1.416,1,1
"android.widget.PopupWindow.OnDismissListener",0,0,0,3,2.386
"android.widget.RadioGroup.OnCheckedChangeListener",3,1,1.424,1,4
"android.widget.RatingBar.OnRatingBarChangeListener",1,1,1.418,1,1
"android.widget.RemoteViewsAdapter.RemoteAdapterConnectionCallback",0,0,0,4,2.386
"android.widget.RemoteViewsService.RemoteViewsFactory",0,1,1.416,2,2
"android.widget.SearchView.OnCloseListener",0,0,0,2,2.386
"android.widget.SearchView.OnQueryChangeListener",0,0,0,2,2.386
"android.widget.SearchView.OnSuggestionSelectionListener",0,0,0,2,2.386
"android.widget.SectionIndexer",0,0,0,2,2.386
"android.widget.SeekBar.OnSeekBarChangeListener",1,1,1.418,3,10
"android.widget.SimpleAdapter.ViewBinder",0,1,1.416,1,2
"android.widget.SimpleCursorAdapter.CursorToStringConverter",1.027,1,1.415,1,2.385
"android.widget.SimpleCursorAdapter.ViewBinder",1.027,2,1.415,1,2.385
"android.widget.SimpleCursorTreeAdapter.ViewBinder",0,2,1.416,1,1
"android.widget.SlidingDrawer.OnDrawerCloseListener",0,0,0,1,3
"android.widget.SlidingDrawer.OnDrawerOpenListener",0,0,0,1,3
"android.widget.SlidingDrawer.OnDrawerScrollListener",0,0,0,1,3
"android.widget.Spinner.SpinnerPopup",1.027,1,1.415,3,2.385
"android.widget.SpinnerAdapter",1.027,3,1.415,8,2.385
"android.widget.TabHost.ContentStrategy",0,1,1.416,5,9
"android.widget.TabHost.IndicatorStrategy",0,1,1.416,5,9
"android.widget.TabHost.OnTabChangeListener",0,0,0,1,8
"android.widget.TabHost.TabContentFactory",0,1,1.416,2,9
"android.widget.TabWidget.OnTabSelectionChanged",0,0,0,2,10
"android.widget.TextView.CursorController",1.027,3,1.415,3,2.385
"android.widget.TextView.OnEditorActionListener",1.027,2,1.415,3,2.385
"android.widget.TimePicker.OnTimeChangedListener",1,1,1.426,2,3
"android.widget.ViewSwitcher.ViewFactory",0,1,1.416,1,3
"android.widget.WrapperListAdapter",1.027,1,1.415,1,2.385
"android.widget.ZoomButtonsController.OnZoomListener",0,0,0,2,2.386
"com.android.internal.app.AlertController.AlertParams.OnPrepareListViewListener",1.027,1,1.415,2,2.385
"com.android.internal.app.LocalePicker.LocaleSelectionListener",0,0,0,1,1
"com.android.internal.http.multipart.PartSource",0,0,0,3,4
"com.android.internal.os.BatteryStatsImpl.BatteryCallback",0,0,0,2,11
"com.android.internal.os.BatteryStatsImpl.Unpluggable",0,0,0,12,13
"com.android.internal.os.HandlerCaller.Callback",1.027,1,1.415,6,2.385
"com.android.internal.policy.IPolicy",1.027,5,1.415,1,2.385
"com.android.internal.util.Predicate",0,0,0,8,2.391
"com.android.internal.view.RootViewSurfaceTaker",1.027,2,1.415,2,2.385
"com.android.internal.view.menu.MenuBuilder.Callback",1.027,3,1.415,9,2.385
"com.android.internal.view.menu.MenuBuilder.ItemInvoker",1.027,1,1.415,5,2.385
"com.android.internal.view.menu.MenuView",1.027,1,1.415,5,2.385
"com.android.internal.view.menu.MenuView.ItemView",1.027,1,1.415,5,2.385
"com.android.internal.widget.LockPatternView.OnPatternListener",0,1,1,1,2
"com.android.internal.widget.RotarySelector.OnDialTriggerListener",0,1,1.416,1,1
"com.android.internal.widget.SlidingTab.OnTriggerListener",0,1,1.416,1,2
"com.android.internal.widget.WaveView.OnTriggerListener",0,1,1.416,1,1
"com.google.android.util.AbstractMessageParser.Resources",0,1,1,3,3
"com.google.android.util.Procedure",0,0,0,0,0

