Complexity metrics,Ter, 10 out 2017 11:43:01 BRT
Class,OCavg,WMC
"org.apache.tools.ant.taskdefs.email.EmailAddress","3,25",26
"org.apache.tools.ant.taskdefs.email.EmailTask","2,00",62
"org.apache.tools.ant.taskdefs.email.EmailTask.Encoding","1,00",1
"org.apache.tools.ant.taskdefs.email.Header","1,00",4
"org.apache.tools.ant.taskdefs.email.Mailer","1,00",17
"org.apache.tools.ant.taskdefs.email.Message","1,27",14
"org.apache.tools.ant.taskdefs.email.MimeMailer","5,00",15
"org.apache.tools.ant.taskdefs.email.MimeMailer.SimpleAuthenticator","1,00",2
"org.apache.tools.ant.taskdefs.email.MimeMailer.StringDataSource","1,86",13
"org.apache.tools.ant.taskdefs.email.PlainMailer","7,00",14
"org.apache.tools.ant.taskdefs.email.UUMailer","2,00",2
"org.apache.tools.ant.taskdefs.optional.ANTLR","2,04",49
"org.apache.tools.ant.taskdefs.optional.Cab","2,46",32
"org.apache.tools.ant.taskdefs.optional.EchoProperties","2,44",39
"org.apache.tools.ant.taskdefs.optional.EchoProperties.FormatAttribute","1,00",1
"org.apache.tools.ant.taskdefs.optional.EchoProperties.Tuple","1,00",2
"org.apache.tools.ant.taskdefs.optional.Javah","1,57",47
"org.apache.tools.ant.taskdefs.optional.Javah.ClassArgument","1,00",3
"org.apache.tools.ant.taskdefs.optional.Native2Ascii","1,93",29
"org.apache.tools.ant.taskdefs.optional.Native2Ascii.ExtMapper","1,33",4
"org.apache.tools.ant.taskdefs.optional.NetRexxC","2,87",129
"org.apache.tools.ant.taskdefs.optional.NetRexxC.TraceAttr","1,00",1
"org.apache.tools.ant.taskdefs.optional.NetRexxC.VerboseAttr","1,00",1
"org.apache.tools.ant.taskdefs.optional.PropertyFile","1,67",15
"org.apache.tools.ant.taskdefs.optional.PropertyFile.Entry","3,23",42
"org.apache.tools.ant.taskdefs.optional.PropertyFile.Entry.Operation","2,00",4
"org.apache.tools.ant.taskdefs.optional.PropertyFile.Entry.Type","2,00",4
"org.apache.tools.ant.taskdefs.optional.PropertyFile.Unit","1,00",3
"org.apache.tools.ant.taskdefs.optional.RenameExtensions","1,17",7
"org.apache.tools.ant.taskdefs.optional.ReplaceRegExp","3,64",51
"org.apache.tools.ant.taskdefs.optional.Rpm","2,50",35
"org.apache.tools.ant.taskdefs.optional.SchemaValidate","1,56",25
