Method,ev(G),iv(G),v(G)
"com.android.internal.telephony.AdnRecord.AdnRecord(String,String,String[])",1,1,1
"com.android.internal.telephony.AdnRecord.AdnRecord(byte[])",1,1,1
"com.android.internal.telephony.AdnRecord.AdnRecord(int,int,String,String)",1,1,1
"com.android.internal.telephony.AdnRecord.AdnRecord(int,int,String,String,String[])",1,1,1
"com.android.internal.telephony.AdnRecord.AdnRecord(int,int,byte[])",1,1,1
"com.android.internal.telephony.AdnRecord.appendExtRecord(byte[])",4,2,5
"com.android.internal.telephony.AdnRecord.buildAdnString(int)",4,6,7
"com.android.internal.telephony.AdnRecord.describeContents()",1,1,1
"com.android.internal.telephony.AdnRecord.getAlphaTag()",1,1,1
"com.android.internal.telephony.AdnRecord.getEmails()",1,1,1
"com.android.internal.telephony.AdnRecord.getNumber()",1,1,1
"com.android.internal.telephony.AdnRecord.hasExtendedRecord()",1,1,2
"com.android.internal.telephony.AdnRecord.isEmpty()",1,3,3
"com.android.internal.telephony.AdnRecord.isEqual(AdnRecord)",1,3,3
"com.android.internal.telephony.AdnRecord.parseRecord(byte[])",2,2,3
"com.android.internal.telephony.AdnRecord.setEmails(String[])",1,1,1
"com.android.internal.telephony.AdnRecord.stringCompareNullEqualsEmpty(String,String)",2,1,4
"com.android.internal.telephony.AdnRecord.toString()",1,1,1
"com.android.internal.telephony.AdnRecord.writeToParcel(Parcel,int)",1,1,1
"com.android.internal.telephony.AdnRecordCache.AdnRecordCache(IccFileHandler)",1,1,1
"com.android.internal.telephony.AdnRecordCache.clearUserWriters()",1,2,2
"com.android.internal.telephony.AdnRecordCache.clearWaiters()",1,2,2
"com.android.internal.telephony.AdnRecordCache.extensionEfForEf(int)",8,2,8
"com.android.internal.telephony.AdnRecordCache.getRecordsIfLoaded(int)",1,1,1
"com.android.internal.telephony.AdnRecordCache.handleMessage(Message)",2,4,5
"com.android.internal.telephony.AdnRecordCache.notifyWaiters(ArrayList<Message>,AsyncResult)",2,2,3
"com.android.internal.telephony.AdnRecordCache.requestLoadAllAdnLike(int,int,Message)",4,7,7
"com.android.internal.telephony.AdnRecordCache.reset()",1,1,1
"com.android.internal.telephony.AdnRecordCache.sendErrorResponse(Message,String)",1,2,2
"com.android.internal.telephony.AdnRecordCache.updateAdnByIndex(int,AdnRecord,int,String,Message)",3,3,3
"com.android.internal.telephony.AdnRecordCache.updateAdnBySearch(int,AdnRecord,AdnRecord,String,Message)",7,8,9
"com.android.internal.telephony.AdnRecordLoader.AdnRecordLoader(IccFileHandler)",1,1,1
"com.android.internal.telephony.AdnRecordLoader.handleMessage(Message)",9,9,22
"com.android.internal.telephony.AdnRecordLoader.loadAllFromEF(int,int,Message)",1,1,1
"com.android.internal.telephony.AdnRecordLoader.loadFromEF(int,int,int,Message)",1,1,1
"com.android.internal.telephony.AdnRecordLoader.updateEF(AdnRecord,int,int,int,String,Message)",1,1,1
"com.android.internal.telephony.ApnContext.ApnContext(String,String)",1,1,1
"com.android.internal.telephony.ApnContext.decWaitingApnsPermFailCount()",1,1,1
"com.android.internal.telephony.ApnContext.dump(FileDescriptor,PrintWriter,String[])",1,1,1
"com.android.internal.telephony.ApnContext.getApnSetting()",1,1,1
"com.android.internal.telephony.ApnContext.getApnType()",1,1,1
"com.android.internal.telephony.ApnContext.getDataConnection()",1,1,1
"com.android.internal.telephony.ApnContext.getDataConnectionAc()",1,1,1
"com.android.internal.telephony.ApnContext.getDependencyMet()",1,1,1
"com.android.internal.telephony.ApnContext.getNextWaitingApn()",1,3,3
"com.android.internal.telephony.ApnContext.getReason()",1,1,1
"com.android.internal.telephony.ApnContext.getRetryCount()",1,1,1
"com.android.internal.telephony.ApnContext.getState()",1,1,1
"com.android.internal.telephony.ApnContext.getWaitingApns()",1,1,1
"com.android.internal.telephony.ApnContext.getWaitingApnsPermFailCount()",1,1,1
"com.android.internal.telephony.ApnContext.isDisconnected()",1,1,2
"com.android.internal.telephony.ApnContext.isEnabled()",1,1,1
"com.android.internal.telephony.ApnContext.isReady()",1,2,2
"com.android.internal.telephony.ApnContext.log(String)",1,1,1
"com.android.internal.telephony.ApnContext.removeWaitingApn(ApnSetting)",1,2,2
"com.android.internal.telephony.ApnContext.setApnSetting(ApnSetting)",1,1,1
"com.android.internal.telephony.ApnContext.setDataConnection(DataConnection)",1,2,2
"com.android.internal.telephony.ApnContext.setDataConnectionAc(DataConnectionAc)",1,4,4
"com.android.internal.telephony.ApnContext.setDependencyMet(boolean)",1,2,2
"com.android.internal.telephony.ApnContext.setEnabled(boolean)",1,2,2
"com.android.internal.telephony.ApnContext.setReason(String)",1,2,2
"com.android.internal.telephony.ApnContext.setRetryCount(int)",1,3,3
"com.android.internal.telephony.ApnContext.setState(State)",1,4,4
"com.android.internal.telephony.ApnContext.setWaitingApns(ArrayList<ApnSetting>)",1,1,1
"com.android.internal.telephony.ApnContext.toString()",1,1,1
"com.android.internal.telephony.ApnSetting.ApnSetting(int,String,String,String,String,String,String,String,String,String,String,int,String[],String,String,boolean,int)",1,1,1
"com.android.internal.telephony.ApnSetting.canHandleType(String)",3,5,6
"com.android.internal.telephony.ApnSetting.equals(Object)",2,1,2
"com.android.internal.telephony.ApnSetting.fromString(String)",5,3,8
"com.android.internal.telephony.ApnSetting.toString()",1,3,3
"com.android.internal.telephony.BaseCommands.BaseCommands(Context)",1,1,1
"com.android.internal.telephony.BaseCommands.getLteOnCdmaMode()",1,1,1
"com.android.internal.telephony.BaseCommands.getRadioState()",1,1,1
"com.android.internal.telephony.BaseCommands.onRadioAvailable()",1,1,1
"com.android.internal.telephony.BaseCommands.registerFoT53ClirlInfo(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForAvailable(Handler,int,Object)",1,2,2
"com.android.internal.telephony.BaseCommands.registerForCallStateChanged(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForCallWaitingInfo(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForCdmaOtaProvision(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForCdmaPrlChanged(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForCdmaSubscriptionChanged(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForDataNetworkStateChanged(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForDisplayInfo(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForExitEmergencyCallbackMode(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForIccRefresh(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForIccStatusChanged(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForInCallVoicePrivacyOff(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForInCallVoicePrivacyOn(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForLineControlInfo(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForNotAvailable(Handler,int,Object)",1,2,2
"com.android.internal.telephony.BaseCommands.registerForNumberInfo(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForOffOrNotAvailable(Handler,int,Object)",1,3,3
"com.android.internal.telephony.BaseCommands.registerForOn(Handler,int,Object)",1,2,2
"com.android.internal.telephony.BaseCommands.registerForRadioStateChanged(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForRedirectedNumberInfo(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForResendIncallMute(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForRilConnected(Handler,int,Object)",1,2,2
"com.android.internal.telephony.BaseCommands.registerForRingbackTone(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForSignalInfo(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForT53AudioControlInfo(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForVoiceNetworkStateChanged(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.registerForVoiceRadioTechChanged(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setCurrentPreferredNetworkType()",1,1,1
"com.android.internal.telephony.BaseCommands.setEmergencyCallbackMode(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnCallRing(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnCatCallSetUp(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnCatEvent(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnCatProactiveCmd(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnCatSessionEnd(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnIccRefresh(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnIccSmsFull(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnNITZTime(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnNewCdmaSms(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnNewGsmBroadcastSms(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnNewGsmSms(Handler,int,Object)",1,1,1
"com.android.internal.telephony.BaseCommands.setOnRestrictedStateChanged(Handler,int,Object)",1,1,1
