Class,OCavg,WMC
"org.gjt.sp.jedit.gui.DockableWindowFactory","2,00",16
"org.gjt.sp.jedit.gui.DockableWindowFactory.DockableListHandler","1,92",25
"org.gjt.sp.jedit.gui.DockableWindowFactory.Window","3,00",9
"org.gjt.sp.jedit.gui.DockableWindowFactory.Window.FloatAction","1,00",3
"org.gjt.sp.jedit.gui.DockableWindowFactory.Window.OpenAction","1,00",3
"org.gjt.sp.jedit.gui.DockableWindowFactory.Window.ToggleAction","1,00",4
"org.gjt.sp.jedit.gui.DockableWindowManager","2,97",104
"org.gjt.sp.jedit.gui.DockableWindowManager.Entry","1,00",2
"org.gjt.sp.jedit.gui.EditAbbrevDialog","1,67",10
"org.gjt.sp.jedit.gui.EditAbbrevDialog.ActionHandler","4,00",4
"org.gjt.sp.jedit.gui.EditAbbrevDialog.KeyHandler","2,00",2
"org.gjt.sp.jedit.gui.EnhancedButton","1,50",3
"org.gjt.sp.jedit.gui.EnhancedButton.MouseHandler","2,00",6
"org.gjt.sp.jedit.gui.EnhancedDialog","1,00",5
"org.gjt.sp.jedit.gui.EnhancedDialog.ContainerHandler","2,00",8
"org.gjt.sp.jedit.gui.EnhancedDialog.KeyHandler","8,00",8
"org.gjt.sp.jedit.gui.EnhancedDialog.WindowHandler","1,00",1
"org.gjt.sp.jedit.gui.ErrorListCellRenderer","1,50",6
"org.gjt.sp.jedit.gui.ErrorListDialog","1,33",4
"org.gjt.sp.jedit.gui.ErrorListDialog.ActionHandler","3,00",3
"org.gjt.sp.jedit.gui.ErrorListDialog.ErrorEntry","3,50",7
"org.gjt.sp.jedit.gui.FilesChangedDialog","5,67",34
"org.gjt.sp.jedit.gui.FilesChangedDialog.ActionHandler","4,00",4
"org.gjt.sp.jedit.gui.FilesChangedDialog.Renderer","2,00",4
"org.gjt.sp.jedit.gui.FilesChangedDialog.TreeHandler","5,00",5
"org.gjt.sp.jedit.gui.FloatingWindowContainer","1,20",12
"org.gjt.sp.jedit.gui.FloatingWindowContainer.MouseHandler","2,00",2
"org.gjt.sp.jedit.gui.FontSelector","1,86",13
"org.gjt.sp.jedit.gui.FontSelector.ActionHandler","3,00",3
"org.gjt.sp.jedit.gui.FontSelectorDialog","1,50",18
"org.gjt.sp.jedit.gui.FontSelectorDialog.ActionHandler","3,00",3
"org.gjt.sp.jedit.gui.FontSelectorDialog.ListHandler","7,00",7
"org.gjt.sp.jedit.gui.GrabKeyDialog","2,57",36
"org.gjt.sp.jedit.gui.GrabKeyDialog.ActionHandler","7,50",15
"org.gjt.sp.jedit.gui.GrabKeyDialog.InputPane","7,00",14
"org.gjt.sp.jedit.gui.GrabKeyDialog.KeyBinding","1,00",2
"org.gjt.sp.jedit.gui.HistoryModel","2,75",33
"org.gjt.sp.jedit.gui.HistoryText","2,21",42
"org.gjt.sp.jedit.gui.HistoryText.ActionHandler","4,00",4
"org.gjt.sp.jedit.gui.HistoryTextArea","2,89",26
"org.gjt.sp.jedit.gui.HistoryTextField","2,17",39
"org.gjt.sp.jedit.gui.HistoryTextField.HistoryBorder","1,50",3
"org.gjt.sp.jedit.gui.HistoryTextField.MouseHandler","1,40",7
"org.gjt.sp.jedit.gui.IOProgressMonitor","1,50",6
"org.gjt.sp.jedit.gui.IOProgressMonitor.ThreadProgress","2,00",4
"org.gjt.sp.jedit.gui.IOProgressMonitor.ThreadProgress.ActionHandler","3,00",3
