Method,ev(G),iv(G),v(G)
"uk.ac.ed.ph.aardvark.core.globals.StructuralElementType.getXMLLocalName()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.AbstractOrganisationTreeSourceNode.getChildNodeNumbering()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.AbstractOrganisationTreeSourceNode.setChildNodeNumbering(NumberingContext)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.BinaryTimeToThinkSource()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.Question.Question()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.Question.getCorrectChoice()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.Question.getText()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.Question.setCorrectChoice(byte)",2,1,3
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.Question.setText(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.getChoice0()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.getChoice1()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.getExposition()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.getQuestions()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.setChoice0(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.setChoice1(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.setExposition(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.CheckpointSource.CheckpointSource()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.CheckpointSource.getLearningOutcomes()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.CheckpointSource.getSolution()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.CheckpointSource.getStatement()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.CheckpointSource.setSolution(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.CheckpointSource.setStatement(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ContentPageLearningResources.ContentPageLearningResources()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ContentPageLearningResources.getSelfTestReferences()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ContentPageLearningResources.getTextBookReference()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ContentPageLearningResources.getTutorialReferences()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ContentPageLearningResources.setTextBookReference(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ContentPageLearningResources.toString()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ContentPageSource.ContentPageSource()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ContentPageSource.getContent()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ContentPageSource.getLearningResources()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ContentPageSource.setContent(String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ContentPageSource.setLearningResources(ContentPageLearningResources)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.ContentPageSource.toString()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentLocation.DeploymentLocation(String,String)",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentLocation.getDescription()",1,1,1
"uk.ac.ed.ph.aardvark.core.resources.DeploymentLocation.getOutputFolderName()",1,1,1
