Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"javax.servlet.http.HttpSession",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17,n/a
"javax.servlet.http.HttpSessionActivationListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"javax.servlet.http.HttpSessionAttributeListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"javax.servlet.http.HttpSessionBindingEvent",6,2,7,9,41,1,0,3,101,23,0,0,1,"1,00",3,7,5
"javax.servlet.http.HttpSessionBindingListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"javax.servlet.http.HttpSessionContext",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"javax.servlet.http.HttpSessionEvent",7,0,2,2,40,0,0,1,14,8,1,0,0,"1,00",1,2,2
"javax.servlet.http.HttpSessionListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"javax.servlet.http.HttpUtils",4,2,5,7,44,0,0,2,231,112,0,0,0,"4,00",4,9,20
"javax.servlet.http.NoBodyOutputStream",2,3,20,23,1,1,0,1,33,27,0,15,0,"1,25",1,4,5
"javax.servlet.http.NoBodyResponse",6,4,84,88,7,2,2,1,41,31,0,37,3,"1,40",2,10,7
"javax.servlet.http.Part",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a
"javax.servlet.jsp.ErrorData",1,4,5,9,0,0,0,4,64,26,0,0,0,"1,00",4,5,5
"javax.servlet.jsp.HttpJspPage",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.servlet.jsp.JspApplicationContext",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"javax.servlet.jsp.JspContext",25,0,16,16,16,0,0,15,233,25,1,0,0,"1,00",11,16,3
"javax.servlet.jsp.JspEngineInfo",2,0,2,2,0,0,0,1,27,5,1,0,0,"1,00",1,2,1
"javax.servlet.jsp.JspException",29,0,5,5,0,0,0,1,69,17,2,0,0,"1,00",1,5,5
"javax.servlet.jsp.JspFactory",10,1,7,8,68,0,0,5,121,19,1,0,0,"1,00",4,7,3
"javax.servlet.jsp.JspPage",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"javax.servlet.jsp.JspTagException",6,0,9,9,1,1,0,0,68,14,0,1,0,"1,00",0,8,4
"javax.servlet.jsp.JspWriter",13,5,28,33,0,0,0,27,357,40,2,0,0,"1,00",3,28,3
"javax.servlet.jsp.PageContext",29,13,33,46,59,1,0,15,439,57,2,2,0,"1,33",9,19,4
"javax.servlet.jsp.SkipPageException",1,0,9,9,1,1,0,0,52,16,0,1,0,"1,00",0,8,4
"javax.servlet.jsp.el.ELException",10,0,5,5,0,0,0,1,55,18,1,0,0,"1,00",1,5,5
"javax.servlet.jsp.el.ELParseException",2,0,7,7,1,1,0,0,28,11,0,1,0,"1,00",0,4,2
"javax.servlet.jsp.el.Expression",5,0,1,1,2,0,0,1,31,5,1,0,0,n/a,1,1,0
"javax.servlet.jsp.el.ExpressionEvaluator",8,0,2,2,4,0,0,2,87,14,1,0,0,n/a,2,2,0
"javax.servlet.jsp.el.FunctionMapper",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"javax.servlet.jsp.el.ImplicitObjectELResolver",10,12,14,26,65,1,0,2,135,131,0,1,0,"4,57",5,22,32
