Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.apache.tools.ant.DefaultLogger.targetFinished(BuildEvent)",0,5,n/a,7,0,1,0,1
"org.apache.tools.ant.DefaultLogger.targetStarted(BuildEvent)",8,3,n/a,16,1,1,4,3
"org.apache.tools.ant.DefaultLogger.taskFinished(BuildEvent)",0,5,n/a,7,0,1,0,1
"org.apache.tools.ant.DefaultLogger.taskStarted(BuildEvent)",0,3,n/a,7,0,1,0,1
"org.apache.tools.ant.DemuxInputStream.DemuxInputStream(Project)",0,1,n/a,8,0,1,1,1
"org.apache.tools.ant.DemuxInputStream.read()",1,42,n/a,12,1,0,4,2
"org.apache.tools.ant.DemuxInputStream.read(byte[],int,int)",1,14,n/a,11,0,3,1,1
"org.apache.tools.ant.DemuxOutputStream.DemuxOutputStream(Project,boolean)",0,4,n/a,14,0,2,2,1
"org.apache.tools.ant.DemuxOutputStream.close()",2,23,n/a,11,0,0,2,1
"org.apache.tools.ant.DemuxOutputStream.flush()",3,24,n/a,12,1,0,3,2
"org.apache.tools.ant.DemuxOutputStream.getBufferInfo()",5,3,n/a,16,1,0,8,2
"org.apache.tools.ant.DemuxOutputStream.processBuffer(ByteArrayOutputStream)",3,3,n/a,13,0,1,3,1
"org.apache.tools.ant.DemuxOutputStream.processFlush(ByteArrayOutputStream)",3,1,n/a,13,0,1,3,1
"org.apache.tools.ant.DemuxOutputStream.removeBuffer()",2,1,n/a,7,0,0,2,1
"org.apache.tools.ant.DemuxOutputStream.resetBufferInfo()",4,2,n/a,14,1,0,6,2
"org.apache.tools.ant.DemuxOutputStream.write(byte[],int,int)",3,10,n/a,33,2,3,16,9
"org.apache.tools.ant.DemuxOutputStream.write(int)",7,17,n/a,27,2,1,11,5
"org.apache.tools.ant.Diagnostics.Diagnostics()",0,0,n/a,4,0,0,0,1
"org.apache.tools.ant.Diagnostics.doReport(PrintStream)",32,2,n/a,40,1,1,31,2
"org.apache.tools.ant.Diagnostics.doReportAntHomeLibraries(PrintStream)",4,1,n/a,9,0,1,3,1
"org.apache.tools.ant.Diagnostics.doReportAntProperties(PrintStream)",10,1,n/a,12,0,1,6,1
"org.apache.tools.ant.Diagnostics.doReportLocale(PrintStream)",14,1,n/a,19,0,1,3,1
"org.apache.tools.ant.Diagnostics.doReportParserInfo(PrintStream)",6,1,n/a,12,0,1,4,1
"org.apache.tools.ant.Diagnostics.doReportProxy(PrintStream)",22,1,n/a,38,1,1,23,5
"org.apache.tools.ant.Diagnostics.doReportSystemProperties(PrintStream)",8,1,n/a,25,2,1,13,4
"org.apache.tools.ant.Diagnostics.doReportTasksAvailability(PrintStream)",20,1,n/a,44,4,1,21,8
"org.apache.tools.ant.Diagnostics.doReportTempDir(PrintStream)",23,1,n/a,53,2,1,35,8
"org.apache.tools.ant.Diagnostics.doReportUserHomeLibraries(PrintStream)",5,1,n/a,12,0,1,5,1
"org.apache.tools.ant.Diagnostics.doReportWhich(PrintStream)",9,1,n/a,25,1,1,12,6
"org.apache.tools.ant.Diagnostics.getClassLocation(Class)",2,2,n/a,9,0,1,2,2
"org.apache.tools.ant.Diagnostics.getImplementationVersion(Class)",2,4,n/a,10,0,1,2,1
"org.apache.tools.ant.Diagnostics.getNamespaceParserLocation()",4,1,n/a,10,1,0,5,2
"org.apache.tools.ant.Diagnostics.getNamespaceParserName()",4,1,n/a,10,1,0,5,2
"org.apache.tools.ant.Diagnostics.getSAXParser()",3,2,n/a,18,1,0,8,3
"org.apache.tools.ant.Diagnostics.getXMLParserLocation()",3,1,n/a,12,1,0,5,2
"org.apache.tools.ant.Diagnostics.getXmlParserName()",3,1,n/a,13,1,0,5,2
"org.apache.tools.ant.Diagnostics.header(PrintStream,String)",5,11,n/a,7,0,2,5,1
"org.apache.tools.ant.Diagnostics.ignoreThrowable(Throwable)",0,7,n/a,7,0,1,0,1
"org.apache.tools.ant.Diagnostics.isOptionalAvailable()",1,0,n/a,13,1,0,4,2
"org.apache.tools.ant.Diagnostics.listJarFiles(File)",3,2,n/a,3,2,1,4,1
"org.apache.tools.ant.Diagnostics.listLibraries()",3,1,n/a,14,1,0,5,2
"org.apache.tools.ant.Diagnostics.main(String[])",1,1,n/a,7,0,1,1,1
"org.apache.tools.ant.Diagnostics.printLibraries(File[],PrintStream)",4,2,n/a,15,1,2,7,3
"org.apache.tools.ant.Diagnostics.printParserInfo(PrintStream,String,String,String)",2,2,n/a,13,1,4,6,3
"org.apache.tools.ant.Diagnostics.printProperty(PrintStream,String)",7,16,n/a,17,1,2,8,2
"org.apache.tools.ant.Diagnostics.validateVersion()",6,1,n/a,22,2,0,7,4
"org.apache.tools.ant.DirectoryScanner.DirectoryScanner()",0,36,n/a,5,0,0,0,1
"org.apache.tools.ant.DirectoryScanner.accountForIncludedDir(String,File,boolean)",11,2,n/a,27,1,3,12,9
"org.apache.tools.ant.DirectoryScanner.accountForIncludedFile(String,File)",8,2,n/a,22,1,2,10,6
"org.apache.tools.ant.DirectoryScanner.addDefaultExclude(String)",2,1,n/a,17,1,1,4,2
"org.apache.tools.ant.DirectoryScanner.addDefaultExcludes()",5,4,n/a,18,1,0,11,4
"org.apache.tools.ant.DirectoryScanner.addExcludes(String[])",3,1,n/a,30,3,1,10,6
"org.apache.tools.ant.DirectoryScanner.checkIncludePatterns()",45,1,n/a,109,7,0,50,37
"org.apache.tools.ant.DirectoryScanner.clearCaches()",3,2,n/a,13,0,0,6,1
"org.apache.tools.ant.DirectoryScanner.clearResults()",9,1,n/a,15,0,0,10,1
"org.apache.tools.ant.DirectoryScanner.contentsExcluded(String)",6,1,n/a,16,2,1,8,5
"org.apache.tools.ant.DirectoryScanner.couldHoldIncluded(String)",4,6,n/a,18,2,1,6,5
"org.apache.tools.ant.DirectoryScanner.ensureNonPatternSetsReady()",2,2,n/a,13,1,0,4,2
"org.apache.tools.ant.DirectoryScanner.fillNonPatternSet(Set,String[])",9,2,n/a,21,2,2,8,5
"org.apache.tools.ant.DirectoryScanner.findFile(File,String,boolean)",9,2,n/a,29,3,3,11,4
"org.apache.tools.ant.DirectoryScanner.findFile(File,Vector,boolean)",12,3,n/a,38,3,3,20,10
"org.apache.tools.ant.DirectoryScanner.getBasedir()",0,14,n/a,9,0,0,1,1
"org.apache.tools.ant.DirectoryScanner.getDefaultExcludes()",2,6,n/a,13,0,0,1,1
"org.apache.tools.ant.DirectoryScanner.getDeselectedDirectories()",3,0,n/a,17,0,0,4,1
"org.apache.tools.ant.DirectoryScanner.getDeselectedFiles()",3,0,n/a,17,0,0,4,1
"org.apache.tools.ant.DirectoryScanner.getExcludedDirectories()",3,1,n/a,17,0,0,4,1
"org.apache.tools.ant.DirectoryScanner.getExcludedFiles()",3,1,n/a,17,0,0,4,1
"org.apache.tools.ant.DirectoryScanner.getIncludedDirectories()",4,24,n/a,17,1,0,6,2
"org.apache.tools.ant.DirectoryScanner.getIncludedDirsCount()",2,8,n/a,11,1,0,3,2
"org.apache.tools.ant.DirectoryScanner.getIncludedFiles()",4,51,n/a,17,1,0,6,2
"org.apache.tools.ant.DirectoryScanner.getIncludedFilesCount()",2,8,n/a,11,1,0,3,2
"org.apache.tools.ant.DirectoryScanner.getNotIncludedDirectories()",3,1,n/a,16,0,0,4,1
"org.apache.tools.ant.DirectoryScanner.getNotIncludedFiles()",3,1,n/a,16,0,0,4,1
"org.apache.tools.ant.DirectoryScanner.getResource(String)",1,6,n/a,10,0,1,1,1
"org.apache.tools.ant.DirectoryScanner.getScannedDirs()",0,1,n/a,8,0,0,1,1
"org.apache.tools.ant.DirectoryScanner.hasBeenScanned(String)",1,1,n/a,11,0,1,1,1
"org.apache.tools.ant.DirectoryScanner.isCaseSensitive()",0,12,n/a,9,0,0,1,1
"org.apache.tools.ant.DirectoryScanner.isDeeper(String,String)",5,1,n/a,13,0,2,3,2
"org.apache.tools.ant.DirectoryScanner.isEverythingIncluded()",0,1,n/a,10,0,0,1,1
"org.apache.tools.ant.DirectoryScanner.isExcluded(String)",7,6,n/a,22,2,1,9,5
"org.apache.tools.ant.DirectoryScanner.isFollowSymlinks()",0,4,n/a,10,0,0,1,1
"org.apache.tools.ant.DirectoryScanner.isIncluded(String)",7,8,n/a,22,2,1,9,5
"org.apache.tools.ant.DirectoryScanner.isMorePowerfulThanExcludes(String,String)",1,1,n/a,25,2,2,7,3
"org.apache.tools.ant.DirectoryScanner.isSelected(String,File)",1,3,n/a,18,3,2,7,4
"org.apache.tools.ant.DirectoryScanner.isSymlink(File,String)",2,1,n/a,10,0,2,1,1
"org.apache.tools.ant.DirectoryScanner.isSymlink(File,Vector)",6,2,n/a,22,2,2,7,4
"org.apache.tools.ant.DirectoryScanner.list(File)",3,1,n/a,17,2,1,6,3
"org.apache.tools.ant.DirectoryScanner.match(String,String)",1,0,n/a,17,0,2,1,1
"org.apache.tools.ant.DirectoryScanner.match(String,String,boolean)",1,0,n/a,21,0,3,1,1
"org.apache.tools.ant.DirectoryScanner.matchPath(String,String)",1,0,n/a,14,0,2,1,1
"org.apache.tools.ant.DirectoryScanner.matchPath(String,String,boolean)",1,2,n/a,17,0,3,1,1
"org.apache.tools.ant.DirectoryScanner.matchPatternStart(String,String)",1,0,n/a,19,0,2,1,1
"org.apache.tools.ant.DirectoryScanner.matchPatternStart(String,String,boolean)",1,1,n/a,22,0,3,1,1
"org.apache.tools.ant.DirectoryScanner.normalizePattern(String)",3,3,n/a,17,1,1,4,2
"org.apache.tools.ant.DirectoryScanner.removeDefaultExclude(String)",1,1,n/a,14,0,1,1,1
"org.apache.tools.ant.DirectoryScanner.resetDefaultExcludes()",2,2,n/a,11,1,0,5,2
"org.apache.tools.ant.DirectoryScanner.scan()",16,41,n/a,79,5,0,41,17
"org.apache.tools.ant.DirectoryScanner.scandir(File,String,boolean)",31,7,n/a,92,4,3,45,20
"org.apache.tools.ant.DirectoryScanner.setBasedir(File)",0,53,n/a,9,0,1,1,1
"org.apache.tools.ant.DirectoryScanner.setBasedir(String)",4,0,n/a,13,0,1,1,2
