Method,ev(G),iv(G),v(G)
"android.support.v4.app.FragmentManagerImpl.attachActivity(FragmentActivity)",2,1,2
"android.support.v4.app.FragmentManagerImpl.attachFragment(Fragment,int,int)",1,4,7
"android.support.v4.app.FragmentManagerImpl.beginTransaction()",1,1,1
"android.support.v4.app.FragmentManagerImpl.checkStateLoss()",3,1,3
"android.support.v4.app.FragmentManagerImpl.detachFragment(Fragment,int,int)",1,5,7
"android.support.v4.app.FragmentManagerImpl.dispatchActivityCreated()",1,1,1
"android.support.v4.app.FragmentManagerImpl.dispatchConfigurationChanged(Configuration)",1,4,4
"android.support.v4.app.FragmentManagerImpl.dispatchContextItemSelected(MenuItem)",5,4,7
"android.support.v4.app.FragmentManagerImpl.dispatchCreate()",1,1,1
"android.support.v4.app.FragmentManagerImpl.dispatchCreateOptionsMenu(Menu,MenuInflater)",1,8,12
"android.support.v4.app.FragmentManagerImpl.dispatchDestroy()",1,1,1
"android.support.v4.app.FragmentManagerImpl.dispatchLowMemory()",1,4,4
"android.support.v4.app.FragmentManagerImpl.dispatchOptionsItemSelected(MenuItem)",5,4,8
"android.support.v4.app.FragmentManagerImpl.dispatchOptionsMenuClosed(Menu)",1,4,7
"android.support.v4.app.FragmentManagerImpl.dispatchPause()",1,1,1
"android.support.v4.app.FragmentManagerImpl.dispatchPrepareOptionsMenu(Menu)",1,4,7
"android.support.v4.app.FragmentManagerImpl.dispatchReallyStop()",1,1,1
"android.support.v4.app.FragmentManagerImpl.dispatchResume()",1,1,1
"android.support.v4.app.FragmentManagerImpl.dispatchStart()",1,1,1
"android.support.v4.app.FragmentManagerImpl.dispatchStop()",1,1,1
"android.support.v4.app.FragmentManagerImpl.dump(String,FileDescriptor,PrintWriter,String[])",1,26,26
"android.support.v4.app.FragmentManagerImpl.enqueueAction(Runnable,boolean)",2,3,5
"android.support.v4.app.FragmentManagerImpl.execPendingActions()",5,8,14
"android.support.v4.app.FragmentManagerImpl.executePendingTransactions()",1,1,1
