CommitNumber;Entity;Class;Change;Superclass
991;CLASS;uk.ac.ed.ph.aardvark.swingui.request.CheckinNodeRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
1007;CLASS;uk.ac.ed.ph.aardvark.swingui.AbstractNodeDisplayingPanel;ADDED*;uk.ac.ed.ph.aardvark.swingui.AbstractApplicationPanel
1009;CLASS;uk.ac.ed.ph.aardvark.swingui.util.SourceCodeTextArea;ADDED*;uk.ac.ed.ph.aardvark.swingui.util.DisplayTextArea
1020;CLASS;uk.ac.ed.ph.aardvark.swingui.request.GetChildrenMetadataRequestTest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractRequestTest
1043;CLASS;uk.ac.ed.ph.aardvark.swingui.NodeViewContainerPanel;ADDED*;uk.ac.ed.ph.aardvark.swingui.AbstractNodeDisplayingPanel
1050;CLASS;uk.ac.ed.ph.aardvark.swingui.components.LinkedFullNodeMetadataPanel;ADDED*;uk.ac.ed.ph.aardvark.swingui.components.FullNodeMetadataPanel
1054;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeSaveEditsAction;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.NodeAction
1054;CLASS;uk.ac.ed.ph.aardvark.swingui.request.SaveEditsRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
1056;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeExportResourceAction;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.NodeAction
1058;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeImportResourceAction;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.NodeAction
1060;CLASS;uk.ac.ed.ph.aardvark.swingui.request.NodeSelectionCallback;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.StandardFailureCallback
1061;CLASS;uk.ac.ed.ph.aardvark.swingui.request.ReloadBranchRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
1061;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeReloadAction;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.NodeAction
1064;CLASS;uk.ac.ed.ph.aardvark.swingui.NodeResourcesPanel;ADDED*;uk.ac.ed.ph.aardvark.swingui.AbstractNodeDisplayingPanel
1074;CLASS;uk.ac.ed.ph.aardvark.cms.internal.AbstractContentManagerImplWorkspaceTest;ADDED*;uk.ac.ed.ph.aardvark.cms.internal.AbstractContentManagerImplTest
1074;CLASS;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplAbandonEditsTest;ADDED*;uk.ac.ed.ph.aardvark.cms.internal.AbstractContentManagerImplWorkspaceTest
1075;CLASS;uk.ac.ed.ph.aardvark.swingui.request.AbandonEditsRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
1075;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeAbandonEditsAction;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.NodeAction
1084;CLASS;uk.ac.ed.ph.aardvark.swingui.request.RenameNodeRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
1084;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeRenameAction;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.NodeAction
1094;CLASS;uk.ac.ed.ph.aardvark.swingui.model.docs.MetadataTemplateDocumentModel;ADDED*;uk.ac.ed.ph.aardvark.swingui.model.docs.AbstractDocumentModel
1097;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeCreateAction;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.NodeAction
1097;CLASS;uk.ac.ed.ph.aardvark.swingui.request.CreateNodeRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
1097;CLASS;uk.ac.ed.ph.aardvark.swingui.request.SuggestNodeLinkIdRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
1101;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeSaveAllEditsAction;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.NodeAction
1107;CLASS;uk.ac.ed.ph.aardvark.swingui.action.NodeValidateAction;ADDED*;uk.ac.ed.ph.aardvark.swingui.action.NodeAction
1107;CLASS;uk.ac.ed.ph.aardvark.swingui.NodeValidatorPanel;ADDED*;uk.ac.ed.ph.aardvark.swingui.AbstractNodeDisplayingPanel
1107;CLASS;uk.ac.ed.ph.aardvark.swingui.request.ValidateNodeRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
1112;CLASS;uk.ac.ed.ph.aardvark.swingui.util.AbstractUndoableModel;ADDED*;uk.ac.ed.ph.aardvark.swingui.util.AbstractModel
1113;CLASS;uk.ac.ed.ph.aardvark.processor.domain.RemoteResourceResult;ADDED*;uk.ac.ed.ph.aardvark.processor.domain.ProcessorResult
1118;CLASS;uk.ac.ed.ph.aardvark.swingui.request.GetSubtreeMetadataRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
1118;CLASS;uk.ac.ed.ph.aardvark.swingui.request.GetDynamicResourceRequest;ADDED*;uk.ac.ed.ph.aardvark.swingui.request.AbstractServerRequest
