CommitNumber;Entity;Method
116;METHOD;uk.ac.ed.ph.aardvark.processor.validator.Validator.validate(RequestContext,CoreNodeMetadata)
116;METHOD;uk.ac.ed.ph.aardvark.processor.validator.ContentPageValidationStrategy.cookSourceCode(RequestContext,ContentNodePath,String[])
116;METHOD;uk.ac.ed.ph.aardvark.processor.domain.ValidationResult.ValidationResult(CoreNodeMetadata)
116;METHOD;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy.saveConfigurationResource(RequestContext,String,File)
116;METHOD;uk.ac.ed.ph.aardvark.processor.domain.ValidationResult.ValidationResult(CoreNodeMetadata,ClientValidationException)
116;METHOD;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy.validate(RequestContext,CoreNodeMetadata)
116;METHOD;uk.ac.ed.ph.aardvark.processor.validator.Validator.getValidator(NodeType)
116;METHOD;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy.runValidator(RequestContext,CoreNodeMetadata,File)
116;METHOD;uk.ac.ed.ph.aardvark.processor.domain.ValidationResult.getNodeMetadata()
116;METHOD;uk.ac.ed.ph.aardvark.processor.Processor.main(String[])
116;METHOD;uk.ac.ed.ph.aardvark.processor.domain.ValidationResult.toString()
117;METHOD;uk.ac.ed.ph.aardvark.processor.validator.TeX4htTidyingPipeline.execute(File,String,StylesheetResourceReader,ProcessorResourceResolver,File)
119;METHOD;uk.ac.ed.ph.aardvark.processor.validator.ContentPageValidationStrategy.cookSourceCode(ContentNodePath,String[])
119;METHOD;uk.ac.ed.ph.aardvark.processor.validator.Validator.Validator(Processor)
119;METHOD;uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
119;METHOD;uk.ac.ed.ph.aardvark.processor.Processor.createValidationRequest(ContentNodeIdentifier)
119;METHOD;uk.ac.ed.ph.aardvark.processor.Processor.validate(ContentNodeIdentifier)
119;METHOD;uk.ac.ed.ph.aardvark.processor.Processor.createRequestId(CoreNodeMetadata)
119;METHOD;uk.ac.ed.ph.aardvark.processor.domain.ProcessorResult.getNodeMetadata()
