Complexity metrics,Sex, 27 out 2017 13:55:11 BRST
Method,ev(G),iv(G),v(G)
"com.microstar.xml.XmlParser.encodingError(String,int,int)",1,3,3
"com.microstar.xml.XmlParser.error(String,String,String)",1,3,5
"com.microstar.xml.XmlParser.error(String,char,String)",1,1,1
"com.microstar.xml.XmlParser.extendArray(Object,int,int)",2,2,5
"com.microstar.xml.XmlParser.filterCR()",4,2,6
"com.microstar.xml.XmlParser.getAttribute(String,String)",2,1,2
"com.microstar.xml.XmlParser.getAttributeDefaultValue(String,String)",2,1,2
"com.microstar.xml.XmlParser.getAttributeDefaultValueType(String,String)",2,2,2
"com.microstar.xml.XmlParser.getAttributeEnumeration(String,String)",2,1,2
"com.microstar.xml.XmlParser.getAttributeExpandedValue(String,String)",2,3,5
"com.microstar.xml.XmlParser.getAttributeType(String,String)",2,2,2
"com.microstar.xml.XmlParser.getColumnNumber()",1,1,1
"com.microstar.xml.XmlParser.getElementAttributes(String)",2,1,2
"com.microstar.xml.XmlParser.getElementContentModel(String)",2,1,2
"com.microstar.xml.XmlParser.getElementContentType(String)",2,2,2
"com.microstar.xml.XmlParser.getEntityNotationName(String)",2,1,2
"com.microstar.xml.XmlParser.getEntityPublicId(String)",2,1,2
"com.microstar.xml.XmlParser.getEntitySystemId(String)",2,1,2
"com.microstar.xml.XmlParser.getEntityType(String)",2,2,2
"com.microstar.xml.XmlParser.getEntityValue(String)",2,1,2
"com.microstar.xml.XmlParser.getLineNumber()",1,1,1
"com.microstar.xml.XmlParser.getNextUtf8Byte(int,int)",1,4,4
"com.microstar.xml.XmlParser.getNotationPublicId(String)",2,1,2
"com.microstar.xml.XmlParser.getNotationSystemId(String)",2,1,2
"com.microstar.xml.XmlParser.initializeVariables()",1,1,1
"com.microstar.xml.XmlParser.intern(String)",1,1,1
"com.microstar.xml.XmlParser.intern(char[],int,int)",7,1,9
"com.microstar.xml.XmlParser.isWhitespace(char)",3,2,3
"com.microstar.xml.XmlParser.parse(String,String,InputStream,String)",1,1,1
"com.microstar.xml.XmlParser.parse(String,String,Reader)",1,1,1
"com.microstar.xml.XmlParser.parse(String,String,String)",1,1,1
"com.microstar.xml.XmlParser.parseAttDef(String)",1,2,3
"com.microstar.xml.XmlParser.parseAttlistDecl()",1,2,2
"com.microstar.xml.XmlParser.parseAttribute(String)",1,4,5
"com.microstar.xml.XmlParser.parseCDSect()",1,1,1
"com.microstar.xml.XmlParser.parseCharRef()",7,8,12
"com.microstar.xml.XmlParser.parseComment()",1,1,1
"com.microstar.xml.XmlParser.parseConditionalSect()",2,6,9
"com.microstar.xml.XmlParser.parseContent()",6,7,14
"com.microstar.xml.XmlParser.parseContentspec(String)",3,4,4
"com.microstar.xml.XmlParser.parseCp()",2,3,4
"com.microstar.xml.XmlParser.parseDefault(String,String,int,String)",1,5,5
"com.microstar.xml.XmlParser.parseDoctypedecl()",7,8,8
"com.microstar.xml.XmlParser.parseDocument()",1,1,2
"com.microstar.xml.XmlParser.parseETag()",1,3,3
"com.microstar.xml.XmlParser.parseElement()",5,8,13
"com.microstar.xml.XmlParser.parseElementdecl()",1,1,1
"com.microstar.xml.XmlParser.parseElements()",7,7,11
"com.microstar.xml.XmlParser.parseEntityDecl()",1,5,7
"com.microstar.xml.XmlParser.parseEntityRef(boolean)",2,4,7
"com.microstar.xml.XmlParser.parseEnumeration()",1,2,2
"com.microstar.xml.XmlParser.parseEq()",1,1,1
"com.microstar.xml.XmlParser.parseMarkupdecl()",1,8,8
"com.microstar.xml.XmlParser.parseMisc()",4,4,4
"com.microstar.xml.XmlParser.parseMixed()",2,3,3
"com.microstar.xml.XmlParser.parseNotationDecl()",1,2,3
"com.microstar.xml.XmlParser.parseNotationType()",1,1,1
"com.microstar.xml.XmlParser.parsePCData()",5,6,10
"com.microstar.xml.XmlParser.parsePEReference(boolean)",2,5,7
"com.microstar.xml.XmlParser.parsePI()",1,3,3
"com.microstar.xml.XmlParser.parseProlog()",1,2,2
"com.microstar.xml.XmlParser.parseTextDecl(boolean)",1,3,3
"com.microstar.xml.XmlParser.parseUntil(String)",1,3,3
"com.microstar.xml.XmlParser.parseWhitespace()",1,2,2
