Complexity metrics,Ter, 24 out 2017 16:51:12 BRST
Method,ev(G),iv(G),v(G)
"com.android.chimpchat.adb.image.CaptureRawAndConvertedImage.main(String[])",1,1,1
"com.android.chimpchat.adb.image.CaptureRawAndConvertedImage.writeOutImage(RawImage,String)",1,1,1
"com.android.chimpchat.adb.image.ImageUtils.ImageUtils()",1,1,1
"com.android.chimpchat.adb.image.ImageUtils.convertImage(RawImage)",1,1,1
"com.android.chimpchat.adb.image.ImageUtils.convertImage(RawImage,BufferedImage)",3,3,3
"com.android.chimpchat.adb.image.ImageUtils.getMask(int)",1,1,2
"com.android.chimpchat.adb.image.ImageUtils.rawImage16toARGB(BufferedImage,RawImage)",1,1,1
"com.android.chimpchat.adb.image.ImageUtils.rawImage32toARGB(RawImage)",1,1,1
"com.android.chimpchat.adb.image.SixteenBitColorModel.SixteenBitColorModel(RawImage)",1,1,1
"com.android.chimpchat.adb.image.SixteenBitColorModel.getAlpha(Object)",1,1,1
"com.android.chimpchat.adb.image.SixteenBitColorModel.getAlpha(int)",1,1,1
"com.android.chimpchat.adb.image.SixteenBitColorModel.getBlue(Object)",1,1,1
"com.android.chimpchat.adb.image.SixteenBitColorModel.getBlue(int)",1,1,1
"com.android.chimpchat.adb.image.SixteenBitColorModel.getGreen(Object)",1,1,1
"com.android.chimpchat.adb.image.SixteenBitColorModel.getGreen(int)",1,1,1
"com.android.chimpchat.adb.image.SixteenBitColorModel.getPixel(Object)",1,1,1
"com.android.chimpchat.adb.image.SixteenBitColorModel.getRed(Object)",1,1,1
"com.android.chimpchat.adb.image.SixteenBitColorModel.getRed(int)",1,1,1
"com.android.chimpchat.adb.image.SixteenBitColorModel.isCompatibleRaster(Raster)",1,1,1
"com.android.chimpchat.adb.image.ThirtyTwoBitColorModel.ThirtyTwoBitColorModel(RawImage)",1,1,1
"com.android.chimpchat.adb.image.ThirtyTwoBitColorModel.getAlpha(Object)",2,1,2
"com.android.chimpchat.adb.image.ThirtyTwoBitColorModel.getAlpha(int)",1,1,1
"com.android.chimpchat.adb.image.ThirtyTwoBitColorModel.getBlue(Object)",1,1,1
"com.android.chimpchat.adb.image.ThirtyTwoBitColorModel.getBlue(int)",1,1,1
"com.android.chimpchat.adb.image.ThirtyTwoBitColorModel.getGreen(Object)",1,1,1
"com.android.chimpchat.adb.image.ThirtyTwoBitColorModel.getGreen(int)",1,1,1
"com.android.chimpchat.adb.image.ThirtyTwoBitColorModel.getPixel(Object)",1,1,1
"com.android.chimpchat.adb.image.ThirtyTwoBitColorModel.getRed(Object)",1,1,1
"com.android.chimpchat.adb.image.ThirtyTwoBitColorModel.getRed(int)",1,1,1
"com.android.chimpchat.adb.image.ThirtyTwoBitColorModel.isCompatibleRaster(Raster)",1,1,1
