Complexity metrics,Qui, 26 out 2017 16:49:18 BRST
Method,ev(G),iv(G),v(G)
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDispositionReadDate()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDispositionReadDateParseException()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDispositionSize()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDispositionSizeParseException()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentDispositionType()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentId()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentLanguage()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentLanguageParseException()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentLocation()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentLocationParseException()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getContentMD5Raw()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getMimeMajorVersion()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getMimeMinorVersion()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.getMimeVersionParseException()",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.parseContentDescription(String)",1,2,2
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.parseContentDisposition(String)",1,6,9
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.parseContentId(String)",1,2,2
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.parseDate(String)",1,1,1
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.parseLanguage(String)",1,2,3
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.parseLocation(String)",1,2,3
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.parseMD5(String)",1,2,2
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor.parseMimeVersion(String)",1,1,4
"org.apache.james.mime4j.field.AbstractField.AbstractField(String,String,ByteSequence)",1,1,1
"org.apache.james.mime4j.field.AbstractField.getBody()",1,1,1
"org.apache.james.mime4j.field.AbstractField.getName()",1,1,1
"org.apache.james.mime4j.field.AbstractField.getParseException()",1,1,1
"org.apache.james.mime4j.field.AbstractField.getParser()",1,1,1
"org.apache.james.mime4j.field.AbstractField.getRaw()",1,1,1
"org.apache.james.mime4j.field.AbstractField.isValidField()",1,1,1
"org.apache.james.mime4j.field.AbstractField.parse(ByteSequence)",1,1,1
"org.apache.james.mime4j.field.AbstractField.parse(ByteSequence,String)",2,3,4
"org.apache.james.mime4j.field.AbstractField.parse(String)",1,1,1
"org.apache.james.mime4j.field.AbstractField.toString()",1,1,1
"org.apache.james.mime4j.field.AddressListField.AddressListField(String,String,ByteSequence)",1,1,1
"org.apache.james.mime4j.field.AddressListField.getAddressList()",1,2,2
"org.apache.james.mime4j.field.AddressListField.getParseException()",1,2,2
"org.apache.james.mime4j.field.AddressListField.parse()",1,3,3
"org.apache.james.mime4j.field.ContentDispositionField.ContentDispositionField(String,String,ByteSequence)",1,1,1
"org.apache.james.mime4j.field.ContentDispositionField.getCreationDate()",1,2,2
"org.apache.james.mime4j.field.ContentDispositionField.getDispositionType()",1,2,2
"org.apache.james.mime4j.field.ContentDispositionField.getFilename()",1,1,1
"org.apache.james.mime4j.field.ContentDispositionField.getModificationDate()",1,2,2
"org.apache.james.mime4j.field.ContentDispositionField.getParameter(String)",1,2,2
"org.apache.james.mime4j.field.ContentDispositionField.getParameters()",1,2,2
"org.apache.james.mime4j.field.ContentDispositionField.getParseException()",1,2,2
"org.apache.james.mime4j.field.ContentDispositionField.getReadDate()",1,2,2
"org.apache.james.mime4j.field.ContentDispositionField.getSize()",2,1,4
"org.apache.james.mime4j.field.ContentDispositionField.isAttachment()",1,2,2
"org.apache.james.mime4j.field.ContentDispositionField.isDispositionType(String)",1,2,2
"org.apache.james.mime4j.field.ContentDispositionField.isInline()",1,2,2
"org.apache.james.mime4j.field.ContentDispositionField.parse()",1,8,9
"org.apache.james.mime4j.field.ContentDispositionField.parseDate(String)",2,7,7
"org.apache.james.mime4j.field.ContentTransferEncodingField.ContentTransferEncodingField(String,String,ByteSequence)",1,1,1
"org.apache.james.mime4j.field.ContentTransferEncodingField.getEncoding()",1,1,1
"org.apache.james.mime4j.field.ContentTransferEncodingField.getEncoding(ContentTransferEncodingField)",2,3,3
"org.apache.james.mime4j.field.ContentTypeField.ContentTypeField(String,String,ByteSequence)",1,1,1
"org.apache.james.mime4j.field.ContentTypeField.getBoundary()",1,1,1
"org.apache.james.mime4j.field.ContentTypeField.getCharset()",1,1,1
"org.apache.james.mime4j.field.ContentTypeField.getCharset(ContentTypeField)",3,3,4
"org.apache.james.mime4j.field.ContentTypeField.getMimeType()",1,2,2
"org.apache.james.mime4j.field.ContentTypeField.getMimeType(ContentTypeField,ContentTypeField)",3,6,7
"org.apache.james.mime4j.field.ContentTypeField.getParameter(String)",1,2,2
"org.apache.james.mime4j.field.ContentTypeField.getParameters()",1,2,2
"org.apache.james.mime4j.field.ContentTypeField.getParseException()",1,2,2
"org.apache.james.mime4j.field.ContentTypeField.isMimeType(String)",1,2,2
"org.apache.james.mime4j.field.ContentTypeField.isMultipart()",1,2,2
"org.apache.james.mime4j.field.ContentTypeField.parse()",1,8,10
"org.apache.james.mime4j.field.DateTimeField.DateTimeField(String,String,ByteSequence)",1,1,1
"org.apache.james.mime4j.field.DateTimeField.getDate()",1,2,2
"org.apache.james.mime4j.field.DateTimeField.getParseException()",1,2,2
"org.apache.james.mime4j.field.DateTimeField.parse()",1,5,5
"org.apache.james.mime4j.field.DefaultFieldParser.DefaultFieldParser()",1,1,1
"org.apache.james.mime4j.field.DelegatingFieldParser.getParser(String)",2,1,2
"org.apache.james.mime4j.field.DelegatingFieldParser.parse(String,String,ByteSequence)",1,1,1
"org.apache.james.mime4j.field.DelegatingFieldParser.setFieldParser(String,FieldParser)",1,1,1
"org.apache.james.mime4j.field.FieldName.FieldName()",1,1,1
"org.apache.james.mime4j.field.Fields.Fields()",1,1,1
"org.apache.james.mime4j.field.Fields.addressList(String,Iterable<Address>)",1,1,1
"org.apache.james.mime4j.field.Fields.addressList0(String,Iterable<Address>)",1,1,1
"org.apache.james.mime4j.field.Fields.bcc(Address)",1,1,1
"org.apache.james.mime4j.field.Fields.bcc(Address...)",1,1,1
"org.apache.james.mime4j.field.Fields.bcc(Iterable<Address>)",1,1,1
"org.apache.james.mime4j.field.Fields.cc(Address)",1,1,1
"org.apache.james.mime4j.field.Fields.cc(Address...)",1,1,1
"org.apache.james.mime4j.field.Fields.cc(Iterable<Address>)",1,1,1
"org.apache.james.mime4j.field.Fields.checkValidFieldName(String)",2,1,2
"org.apache.james.mime4j.field.Fields.contentDisposition(String)",1,1,1
"org.apache.james.mime4j.field.Fields.contentDisposition(String,Map<String, String>)",3,4,5
"org.apache.james.mime4j.field.Fields.contentDisposition(String,String)",1,1,1
"org.apache.james.mime4j.field.Fields.contentDisposition(String,String,long)",1,1,1
