Package,PDcy,PDpt
"contrib.benchmark",0,0
"contrib.benchmark.conf",0,0
"contrib.benchmark.lib",0,0
"contrib.benchmark.scripts",0,0
"contrib.benchmark.src.java",0,0
"contrib.benchmark.src.java.org.apache.lucene.benchmark",0,0
"contrib.benchmark.src.java.org.apache.lucene.benchmark.byTask",10,7
"contrib.benchmark.src.java.org.apache.lucene.benchmark.byTask.feeds",12,6
"contrib.benchmark.src.java.org.apache.lucene.benchmark.byTask.feeds.demohtml",0,0
"contrib.benchmark.src.java.org.apache.lucene.benchmark.byTask.programmatic",3,0
"contrib.benchmark.src.java.org.apache.lucene.benchmark.byTask.stats",2,3
"contrib.benchmark.src.java.org.apache.lucene.benchmark.byTask.tasks",16,8
"contrib.benchmark.src.java.org.apache.lucene.benchmark.byTask.utils",2,10
"contrib.benchmark.src.java.org.apache.lucene.benchmark.quality",3,2
"contrib.benchmark.src.java.org.apache.lucene.benchmark.quality.trec",5,1
"contrib.benchmark.src.java.org.apache.lucene.benchmark.quality.utils",8,3
"contrib.benchmark.src.java.org.apache.lucene.benchmark.utils",3,0
"contrib.benchmark.src.test.conf",0,1
"contrib.benchmark.src.test.org.apache.lucene.benchmark",2,6
"contrib.benchmark.src.test.org.apache.lucene.benchmark.byTask",18,0
"contrib.benchmark.src.test.org.apache.lucene.benchmark.byTask.feeds",11,0
"contrib.benchmark.src.test.org.apache.lucene.benchmark.byTask.feeds.demohtml",1,0
"contrib.benchmark.src.test.org.apache.lucene.benchmark.byTask.tasks",11,1
"contrib.benchmark.src.test.org.apache.lucene.benchmark.byTask.tasks.alt",3,0
"contrib.benchmark.src.test.org.apache.lucene.benchmark.byTask.utils",3,0
"contrib.benchmark.src.test.org.apache.lucene.benchmark.quality",7,0
"contrib.clustering",0,0
"contrib.clustering.lib",0,0
"contrib.clustering.src.java",0,0
"contrib.clustering.src.java.org.apache.solr.handler.clustering",12,2
"contrib.clustering.src.java.org.apache.solr.handler.clustering.carrot2",18,1
"contrib.clustering.src.test-files.clustering.solr.conf",0,0
"contrib.clustering.src.test-files.clustering.solr.conf.clustering.carrot2",0,0
"contrib.clustering.src.test-files.clustering.solr.conf.clustering.custom",0,0
"contrib.clustering.src.test.org.apache.solr.handler.clustering",10,1
"contrib.clustering.src.test.org.apache.solr.handler.clustering.carrot2",14,0
"contrib.dataimporthandler",0,0
"contrib.dataimporthandler-extras",0,0
"contrib.dataimporthandler-extras.src.java",0,0
