Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.hsqldb.lib.IntKeyHashMapConcurrent.Values",5,0,17,17,8,0,1,7,26,26,0,0,0,"1,00",7,11,8
"org.hsqldb.lib.IntKeyIntValueHashMap",9,30,37,67,11,1,0,5,66,61,0,24,0,"1,50",7,14,15
"org.hsqldb.lib.IntKeyIntValueHashMap.KeySet",6,0,28,28,9,0,2,8,29,29,0,0,0,"1,00",8,12,9
"org.hsqldb.lib.IntKeyIntValueHashMap.Values",5,0,17,17,8,0,1,7,26,26,0,0,0,"1,00",7,11,8
"org.hsqldb.lib.IntKeyLongValueHashMap",1,28,35,63,6,1,0,3,52,47,0,24,0,"1,38",5,12,11
"org.hsqldb.lib.IntLookup",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.hsqldb.lib.IntValueHashMap",17,29,40,69,10,1,0,5,98,91,0,23,1,"1,85",9,25,24
"org.hsqldb.lib.IntValueHashMap.KeySet",6,0,28,28,10,0,2,7,36,36,0,0,0,"1,11",8,15,10
"org.hsqldb.lib.Iterator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"org.hsqldb.lib.LongDeque",4,5,16,21,1,0,0,1,173,164,0,0,0,"2,62",13,16,42
"org.hsqldb.lib.LongKeyHashMap",16,30,38,68,11,1,0,8,62,56,0,22,2,"1,45",8,17,16
"org.hsqldb.lib.LongKeyHashMap.KeySet",6,0,28,28,9,0,2,8,29,29,0,0,0,"1,00",8,12,9
"org.hsqldb.lib.LongKeyHashMap.Values",5,0,17,17,8,0,1,7,26,26,0,0,0,"1,00",7,11,8
"org.hsqldb.lib.LongKeyIntValueHashMap",6,30,38,68,11,1,0,5,70,65,0,24,0,"1,45",7,15,16
"org.hsqldb.lib.LongKeyIntValueHashMap.KeySet",6,0,28,28,9,0,2,8,29,29,0,0,0,"1,00",8,12,9
"org.hsqldb.lib.LongKeyIntValueHashMap.Values",5,0,17,17,8,0,1,7,26,26,0,0,0,"1,00",7,11,8
"org.hsqldb.lib.LongKeyLongValueHashMap",6,30,38,68,11,1,0,5,70,65,0,24,0,"1,45",7,15,16
"org.hsqldb.lib.LongKeyLongValueHashMap.KeySet",6,0,28,28,9,0,2,8,29,29,0,0,0,"1,00",8,12,9
"org.hsqldb.lib.LongKeyLongValueHashMap.Values",5,0,17,17,8,0,1,7,26,26,0,0,0,"1,00",7,11,8
"org.hsqldb.lib.LongValueHashMap",6,29,39,68,10,1,0,4,95,88,0,23,1,"1,92",8,24,23
"org.hsqldb.lib.LongValueHashMap.KeySet",6,0,28,28,10,0,2,7,36,36,0,0,0,"1,11",8,15,10
"org.hsqldb.lib.MultiValueHashMap",12,31,38,69,15,1,0,8,61,53,0,22,2,"1,27",8,20,14
"org.hsqldb.lib.MultiValueHashMap.KeySet",6,0,28,28,15,0,2,7,31,31,0,0,0,"1,00",8,14,9
"org.hsqldb.lib.MultiValueHashMap.Values",5,0,17,17,8,0,1,7,26,26,0,0,0,"1,00",7,11,8
"org.hsqldb.lib.ObjectComparator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.hsqldb.lib.OrderedHashSet",49,28,78,106,11,2,3,4,78,67,0,34,1,"1,80",7,18,18
"org.hsqldb.lib.OrderedIntHashSet",13,28,36,64,6,1,0,2,66,61,0,24,0,"1,67",6,15,15
"org.hsqldb.lib.RCData",7,11,12,23,0,0,0,3,381,282,0,0,0,"5,08",5,12,61
"org.hsqldb.lib.RefCapablePropertyResourceBundle",3,13,15,28,12,0,0,2,429,258,0,0,0,"4,07",14,16,61
"org.hsqldb.lib.Set",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a
"org.hsqldb.lib.SimpleLog",15,6,10,16,355,0,0,1,105,89,0,0,0,"2,10",2,13,21
"org.hsqldb.lib.Sort",4,0,2,2,1,0,0,1,67,53,0,0,0,"6,50",0,3,13
"org.hsqldb.lib.StopWatch",13,4,11,15,0,0,0,1,134,56,0,0,0,"1,36",5,11,15
