Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.jhotdraw.beans.BeansBinding.Handler",1,0,1,1,1,0,0,1,30,30,0,0,0,"7,00",0,3,7
"org.jhotdraw.beans.WeakPropertyChangeListener",10,1,5,6,0,0,0,1,59,33,0,0,0,"1,20",2,5,6
"org.jhotdraw.color.AbstractColorSlidersModel",6,3,26,29,3,1,1,1,32,23,1,9,0,"2,00",0,3,6
"org.jhotdraw.color.AbstractColorWheelImageProducer",10,10,13,23,13,0,0,4,63,57,5,0,0,"1,10",6,14,11
"org.jhotdraw.color.AbstractHarmonicRule",2,2,10,12,2,0,1,3,26,19,1,0,0,"1,00",2,4,4
"org.jhotdraw.color.AbstractNamedColorSpace",10,1,12,13,12,0,1,4,37,31,8,0,0,"1,00",6,11,7
"org.jhotdraw.color.CIELABColorSpace",4,8,24,32,14,1,1,6,282,180,0,4,2,"2,42",9,17,29
"org.jhotdraw.color.CIELABColorSpace.OutsideGamutHandling",1,2,0,2,0,n/a,0,0,4,4,n/a,0,0,n/a,0,0,0
"org.jhotdraw.color.CIELCHabColorSpace",3,9,24,33,13,1,1,6,273,184,0,4,2,"2,58",9,17,31
"org.jhotdraw.color.CIEXYChromaticityDiagramImageProducer",3,13,10,23,14,0,0,3,170,118,0,0,0,"2,40",6,11,24
"org.jhotdraw.color.CIEXYChromaticityDiagramImageProducer.OutsideGamutHandling",1,2,0,2,0,n/a,0,0,4,4,n/a,0,0,n/a,0,0,0
"org.jhotdraw.color.CMYKGenericColorSpace",1,2,2,4,0,0,0,1,25,19,0,0,0,"1,50",1,2,3
"org.jhotdraw.color.CMYKNominalColorSpace",3,2,22,24,13,1,1,7,104,92,0,6,0,"1,80",9,11,18
"org.jhotdraw.color.ColorListCellRenderer",3,2,2,4,14,0,0,1,34,28,0,0,0,"1,50",1,4,3
"org.jhotdraw.color.ColorListCellRenderer.ColorIcon",1,1,4,5,0,0,0,1,25,25,0,0,0,"1,25",2,4,5
"org.jhotdraw.color.ColorSliderModel",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14,n/a
"org.jhotdraw.color.ColorSliderUI",8,8,25,33,24,0,0,12,370,294,1,0,0,"2,28",11,35,57
"org.jhotdraw.color.ColorSliderUI.CSUIPropertyChangeHandler",3,0,1,1,24,0,0,1,52,51,0,0,0,"18,00",0,6,18
"org.jhotdraw.color.ColorSliderUI.TrackListener",1,0,1,1,0,0,0,1,36,25,0,0,0,"6,00",0,1,6
"org.jhotdraw.color.ColorSquareImageProducer",4,15,21,36,14,1,0,1,122,105,0,7,2,"2,50",3,10,20
"org.jhotdraw.color.ColorTrackImageProducer",5,8,12,20,24,0,0,1,114,101,0,0,0,"1,83",3,16,22
"org.jhotdraw.color.ColorUtil",24,2,21,23,12,0,0,8,247,166,0,0,0,"1,86",16,29,39
"org.jhotdraw.color.ColorWheelChooser",4,5,8,13,34,0,0,5,76,59,0,0,0,"1,22",3,15,11
"org.jhotdraw.color.ComplexColorWheelImageProducer",4,15,22,37,14,1,0,1,230,192,0,7,2,"3,22",4,13,29
"org.jhotdraw.color.CompositeColor",2,4,6,10,12,0,0,1,250,132,0,0,0,"4,33",5,7,26
"org.jhotdraw.color.DefaultColorSliderModel",13,6,45,51,24,2,1,1,197,164,1,12,0,"1,55",8,23,31
"org.jhotdraw.color.DefaultHarmonicColorModel",7,8,43,51,28,0,1,2,167,161,0,0,0,"1,46",11,35,38
"org.jhotdraw.color.DiskColorWheelImageProducer",4,15,22,37,14,1,0,1,206,169,0,7,2,"3,44",3,13,31
"org.jhotdraw.color.HSBColorSpace",9,2,22,24,12,1,1,7,70,63,0,6,0,"1,50",9,11,15
