Class,OCavg,WMC
"org.eclipse.jdt.internal.codeassist.complete.CompletionNodeFound","1,00",5
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnAnnotationMemberValuePair","2,33",7
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnAnnotationOfType","1,00",2
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnArgumentName","1,50",6
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnBranchStatementLabel","1,25",5
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnClassLiteralAccess","1,33",4
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnExplicitConstructorCall","4,33",13
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnFieldName","1,67",5
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnFieldType","1,50",3
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnImportReference","2,00",4
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnJavadocAllocationExpression","2,11",19
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnJavadocFieldReference","2,18",24
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnJavadocMessageSend","2,11",19
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnJavadocParamNameReference","1,17",7
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnJavadocQualifiedTypeReference","2,11",19
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnJavadocSingleTypeReference","2,11",19
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnJavadocTag","5,00",35
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnJavadocTypeParamReference","1,17",7
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnKeyword1","1,00",7
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnKeyword2","1,00",4
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnKeyword3","1,00",6
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnLocalName","1,50",6
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnMarkerAnnotationName","2,00",4
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnMemberAccess","3,00",9
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnMemberValueName","1,00",2
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnMessageSend","6,50",13
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnMessageSendName","3,33",10
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnMethodName","3,00",9
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnMethodReturnType","1,00",3
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnMethodTypeParameter","1,33",4
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnPackageReference","2,00",4
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnParameterizedQualifiedTypeReference","2,00",18
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedAllocationExpression","8,50",17
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedNameReference","2,67",8
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedTypeReference","1,64",18
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnReferenceExpressionName","5,00",10
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnSingleNameReference","1,25",5
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnSingleTypeReference","1,67",20
"org.eclipse.jdt.internal.codeassist.complete.CompletionOnStringLiteral","1,00",5
"org.eclipse.jdt.internal.codeassist.complete.CompletionParser","4,47",1.054
"org.eclipse.jdt.internal.codeassist.complete.CompletionScanner","21,20",212
"org.eclipse.jdt.internal.codeassist.complete.InvalidCursorLocation","1,00",1
"org.eclipse.jdt.internal.codeassist.impl.AssistAnnotation","1,00",2
