Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.argouml.cognitive.ui.ToDoByGoal",0,0,5,5,0,0,0,4,95,88,0,0,0,"4,20",0,5,21
"org.argouml.cognitive.ui.ToDoByOffender",0,0,5,5,0,0,0,4,98,84,0,0,0,"3,60",0,5,18
"org.argouml.cognitive.ui.ToDoByPoster",0,0,5,5,0,0,0,4,97,85,0,0,0,"3,60",0,5,18
"org.argouml.cognitive.ui.ToDoByPriority",0,0,5,5,0,0,0,4,95,87,0,0,0,"4,20",0,5,21
"org.argouml.cognitive.ui.ToDoByType",0,0,5,5,0,0,0,4,95,88,0,0,0,"4,20",0,5,21
"org.argouml.cognitive.ui.ToDoPane",0,25,30,55,0,0,0,8,232,186,0,0,0,"1,90",8,30,57
"org.argouml.cognitive.ui.ToDoPerspective",1,4,12,16,1,0,0,3,159,99,0,0,0,"2,00",2,12,24
"org.argouml.cognitive.ui.ToDoTreeRenderer",2,7,1,8,2,0,0,1,66,61,0,0,0,"15,00",1,1,15
"org.argouml.cognitive.ui.WizDescription",0,1,2,3,0,0,0,1,64,62,0,0,0,"5,00",0,2,10
"org.argouml.cognitive.ui.WizStep",0,8,15,23,0,0,0,2,141,116,0,0,0,"2,00",2,15,30
"org.argouml.cognitive.ui.WizStepChoice",0,4,3,7,0,0,0,1,95,87,0,0,0,"2,67",1,3,8
"org.argouml.cognitive.ui.WizStepConfirm",0,1,2,3,0,0,0,0,52,44,0,0,0,"1,00",0,2,2
"org.argouml.cognitive.ui.WizStepCue",0,1,1,2,0,0,0,0,50,42,0,0,0,"1,00",0,1,1
"org.argouml.cognitive.ui.WizStepManyTextFields",0,2,2,4,0,0,0,1,83,75,0,0,0,"2,00",1,2,4
"org.argouml.cognitive.ui.WizStepTextField",0,3,3,6,0,0,0,1,77,62,0,0,0,"1,00",1,3,3
"org.argouml.kernel.ArgoConstants",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.argouml.kernel.ArgoFileFilter",0,0,3,3,0,0,0,2,36,21,0,0,0,"2,67",3,3,8
"org.argouml.kernel.ChildGenDMElements",0,0,1,1,0,0,0,1,9,8,0,0,0,"2,00",1,1,2
"org.argouml.kernel.DelayedChangeNotify",0,2,2,4,0,0,0,1,10,10,0,0,0,"1,00",0,2,2
"org.argouml.kernel.DelayedVChangeListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.argouml.kernel.History",1,3,12,15,1,0,0,1,89,54,0,0,0,"1,25",1,12,15
"org.argouml.kernel.HistoryEvent",0,3,2,5,0,0,0,1,18,11,0,0,0,"1,00",1,2,2
"org.argouml.kernel.HistoryItem",0,8,8,16,0,0,0,3,49,40,0,0,0,"1,12",4,8,9
"org.argouml.kernel.HistoryItemManipulation",0,0,3,3,0,0,0,0,17,13,0,0,0,"1,33",1,3,4
"org.argouml.kernel.HistoryItemResolve",0,1,3,4,0,0,0,0,20,14,0,0,0,"1,33",1,3,4
"org.argouml.kernel.HistoryListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.argouml.kernel.PredInstanceOf",0,1,2,3,0,0,0,1,7,7,0,0,0,"1,00",1,2,2
"org.argouml.kernel.Project",11,21,70,91,2,0,0,12,842,628,0,0,0,"2,14",29,73,150
"org.argouml.kernel.ProjectMember",0,2,11,13,0,0,0,5,54,31,0,0,0,"1,50",5,11,9
"org.argouml.kernel.ResetStatsLater",1,0,1,1,2,0,0,1,5,5,0,0,0,"1,00",0,2,1
"org.argouml.kernel.Wizard",0,5,22,27,0,0,0,2,133,59,0,0,0,"1,42",11,22,27
"org.argouml.language.NotationResourceBundle",0,1,6,7,0,0,0,6,26,26,0,0,0,"1,00",6,6,6
"org.argouml.language.helpers.NotationHelper",0,1,25,26,0,0,0,4,111,102,0,0,0,"3,55",24,25,39
"org.argouml.language.java.JavaConstants",0,234,0,234,0,0,0,0,389,389,0,0,0,n/a,0,0,0
"org.argouml.language.java.Token",10,148,6,154,10,0,0,2,422,356,9,0,0,"1,17",5,16,7
"org.argouml.language.java.Token.AttributeKey",1,0,2,2,0,0,0,0,7,7,0,0,0,"1,00",1,2,2
"org.argouml.language.java.Token.Declaration",1,2,7,9,10,1,0,0,5,5,0,5,0,"1,00",0,2,1
"org.argouml.language.java.Token.MExpression",1,2,7,9,10,1,0,0,5,5,0,5,0,"1,00",0,2,1
"org.argouml.language.java.Token.Modifier",1,2,7,9,10,1,0,0,5,5,0,5,0,"1,00",0,2,1
"org.argouml.language.java.Token.Operator",1,2,7,9,10,1,0,0,5,5,0,5,0,"1,00",0,2,1
"org.argouml.language.java.Token.Punctuation",1,2,7,9,10,1,0,0,5,5,0,5,0,"1,00",0,2,1
"org.argouml.language.java.Token.Special",1,2,7,9,10,1,0,0,5,5,0,5,0,"1,00",0,2,1
"org.argouml.language.java.Token.Statement",1,2,7,9,10,1,0,0,5,5,0,5,0,"1,00",0,2,1
"org.argouml.language.java.Token.Type",1,2,7,9,10,1,0,0,5,5,0,5,0,"1,00",0,2,1
"org.argouml.language.java.Token.Value",1,2,7,9,10,1,0,0,5,5,0,5,0,"1,00",0,2,1
"org.argouml.language.java.cognitive.critics.CrMultipleInheritance",0,0,5,5,0,0,0,4,48,46,0,0,0,"1,60",2,5,8
"org.argouml.language.java.generator.AnonymousClassCodePiece",0,2,7,9,0,0,0,1,76,46,0,0,0,"1,14",5,7,8
"org.argouml.language.java.generator.AttributeCodePiece",0,3,7,10,0,0,0,2,131,96,0,0,0,"2,86",5,7,20
"org.argouml.language.java.generator.ClassCodePiece",0,2,7,9,0,0,0,2,116,86,0,0,0,"2,57",5,7,18
"org.argouml.language.java.generator.ClassifierEndCodePiece",0,1,7,8,0,0,0,2,93,63,0,0,0,"1,86",5,7,13
"org.argouml.language.java.generator.CodeGenerator",2,0,9,9,2,0,0,2,348,245,0,0,0,"3,42",1,13,41
"org.argouml.language.java.generator.CodePiece",0,0,5,5,0,0,0,5,28,8,0,0,0,n/a,5,5,0
"org.argouml.language.java.generator.CodePieceCollector",0,1,3,4,0,0,0,1,90,65,0,0,0,"3,67",0,3,11
"org.argouml.language.java.generator.CompositeCodePiece",0,1,7,8,0,0,0,1,83,56,0,0,0,"1,71",5,7,12
"org.argouml.language.java.generator.GeneratorJava",3,2,45,47,11,0,0,18,847,631,0,0,0,"3,83",43,53,184
"org.argouml.language.java.generator.InterfaceCodePiece",0,2,7,9,0,0,0,2,103,73,0,0,0,"2,14",5,7,15
"org.argouml.language.java.generator.JavaLexer",0,16,63,79,0,0,0,2,1.751,1.751,0,0,0,"4,86",1,63,306
"org.argouml.language.java.generator.JavaRecognizer",0,43,71,114,0,0,0,1,5.412,5.287,0,0,0,"11,92",19,71,846
"org.argouml.language.java.generator.JavaTokenTypes",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.argouml.language.java.generator.JavaUML",0,23,0,23,0,0,0,0,82,49,0,0,0,n/a,0,0,0
"org.argouml.language.java.generator.NamedCodePiece",0,0,1,1,0,0,0,1,19,7,0,0,0,n/a,0,1,0
"org.argouml.language.java.generator.OperationCodePiece",0,3,7,10,0,0,0,2,162,130,0,0,0,"3,86",5,7,27
"org.argouml.language.java.generator.PackageCodePiece",0,1,7,8,0,0,0,2,70,44,0,0,0,"1,14",5,7,8
"org.argouml.language.java.generator.ParseState",0,4,8,12,0,0,0,3,87,49,0,0,0,"1,12",5,8,9
"org.argouml.language.java.generator.SimpleCodePiece",0,4,7,11,0,0,0,4,72,44,0,0,0,"1,00",5,7,7
"org.argouml.language.java.ui.JavaContext",2,3,5,8,2,0,0,2,105,59,0,0,0,"2,80",4,6,14
"org.argouml.language.java.ui.JavaContext.JavaView",1,2,4,6,2,0,0,1,100,54,0,0,0,"2,25",1,5,9
"org.argouml.language.java.ui.JavaDocument",3,1,5,6,5,0,0,3,112,66,0,0,0,"2,40",2,7,12
"org.argouml.language.java.ui.JavaDocument.AttributeKey",1,0,2,2,0,0,0,0,7,7,0,0,0,"1,00",1,2,2
"org.argouml.language.java.ui.JavaDocument.DocumentInputStream",1,5,3,8,0,0,0,1,59,37,0,0,0,"1,67",1,3,5
"org.argouml.language.java.ui.JavaDocument.LocalEnvironment",1,0,1,1,0,0,0,1,8,5,0,0,0,"1,00",0,1,1
"org.argouml.language.java.ui.JavaDocument.Scanner",3,1,4,5,2,0,0,1,33,20,0,0,0,"1,00",2,5,4
"org.argouml.language.java.ui.JavaEditorKit",0,1,7,8,0,0,0,3,63,29,0,0,0,"1,14",5,7,8
"org.argouml.language.java.ui.TabJavaSrc",0,6,10,16,0,0,0,1,125,96,0,0,0,"2,60",3,10,26
"org.argouml.language.ui.ActionNotation",0,2,7,9,0,0,0,5,58,51,0,0,0,"1,86",2,7,13
"org.argouml.language.ui.NotationComboBox",0,1,8,9,0,0,0,6,53,46,0,0,0,"1,38",1,8,11
"org.argouml.language.ui.SettingsTabNotation",0,2,11,13,0,0,0,8,79,65,0,0,0,"1,00",7,11,11
"org.argouml.ocl.ArgoAny",3,1,12,13,10,0,0,2,218,209,0,0,0,"4,33",11,17,52
"org.argouml.ocl.ArgoFacade",1,1,2,3,11,0,0,1,35,23,0,0,0,"3,00",1,3,6
"org.argouml.ocl.OCLEvaluator",2,1,3,4,0,0,0,1,46,45,0,0,0,"5,67",2,3,17
"org.argouml.ocl.OCLExpander",0,0,2,2,0,0,0,1,11,8,0,0,0,"1,00",1,2,2
"org.argouml.ocl.OCLUtil",1,0,3,3,0,0,0,1,66,50,0,0,0,"3,33",2,3,10
"org.argouml.pattern.cognitive.critics.CrConsiderSingleton",0,0,3,3,0,0,0,2,54,48,0,0,0,"5,33",1,3,16
"org.argouml.pattern.cognitive.critics.CrSingletonViolated",0,0,3,3,0,0,0,2,31,23,0,0,0,"1,67",1,3,5
"org.argouml.pattern.cognitive.critics.PatternStereotypes",0,1,0,1,0,0,0,0,4,4,0,0,0,n/a,0,0,0
"org.argouml.persistence.DBLoader",0,7,23,30,0,0,0,2,417,387,0,0,0,"3,61",4,23,83
"org.argouml.persistence.DBWriter",0,4,29,33,0,0,0,2,419,384,0,0,0,"3,41",1,29,99
"org.argouml.ui.AboutBox",0,6,1,7,0,0,0,0,160,148,0,0,0,"1,00",0,1,1
"org.argouml.ui.ActionAboutArgoUML",1,0,3,3,0,0,0,2,8,8,0,0,0,"1,00",1,3,3
"org.argouml.ui.ActionAutoCritique",1,0,2,2,0,0,0,1,10,10,0,0,0,"1,00",0,2,2
"org.argouml.ui.ActionCreateMultiple",1,0,2,2,0,0,0,1,8,6,0,0,0,"1,00",1,2,2
"org.argouml.ui.ActionEmailExpert",2,1,6,7,1,1,0,1,8,8,0,2,0,"1,00",0,3,2
"org.argouml.ui.ActionFind",1,0,2,2,0,0,0,1,6,6,0,0,0,"1,00",0,2,2
"org.argouml.ui.ActionFlatToDo",1,0,2,2,0,0,0,1,8,8,0,0,0,"1,00",0,2,2
"org.argouml.ui.ActionGoToCritique",0,1,3,4,0,0,0,2,11,11,0,0,0,"1,00",1,3,3
"org.argouml.ui.ActionGoToDetails",0,1,3,4,0,0,0,1,23,19,0,0,0,"1,33",1,3,4
"org.argouml.ui.ActionGoToEdit",0,1,3,4,0,0,0,1,23,19,0,0,0,"1,33",1,3,4
"org.argouml.ui.ActionGotoDiagram",1,0,2,2,0,0,0,1,20,17,0,0,0,"1,00",0,2,2
"org.argouml.ui.ActionMoreInfo",2,1,5,6,1,1,0,0,3,3,0,2,0,"1,00",0,2,1
"org.argouml.ui.ActionNavBack",1,0,3,3,0,0,0,2,15,15,0,0,0,"1,67",1,3,5
"org.argouml.ui.ActionNavConfig",1,0,2,2,0,0,0,1,9,9,0,0,0,"1,00",0,2,2
"org.argouml.ui.ActionNavForw",1,0,3,3,0,0,0,2,13,13,0,0,0,"1,33",1,3,4
"org.argouml.ui.ActionNewToDoItem",1,0,2,2,0,0,0,1,7,7,0,0,0,"1,00",0,2,2
"org.argouml.ui.ActionNextDetailsTab",1,0,2,2,0,0,0,1,8,8,0,0,0,"1,00",0,2,2
"org.argouml.ui.ActionNextEditTab",1,0,2,2,0,0,0,1,8,8,0,0,0,"1,00",0,2,2
"org.argouml.ui.ActionOpenCritics",1,0,2,2,0,0,0,1,7,7,0,0,0,"1,00",0,2,2
"org.argouml.ui.ActionOpenDecisions",1,0,2,2,0,0,0,1,7,7,0,0,0,"1,00",0,2,2
"org.argouml.ui.ActionOpenGoals",1,0,2,2,0,0,0,1,7,7,0,0,0,"1,00",0,2,2
"org.argouml.ui.ActionPrint",1,0,2,2,0,0,0,1,12,12,0,0,0,"1,50",0,2,3
"org.argouml.ui.ActionRedo",1,0,2,2,0,0,0,1,4,4,0,0,0,"1,00",1,2,2
"org.argouml.ui.ActionResolve",2,1,6,7,1,1,0,1,8,8,0,2,0,"1,00",0,3,2
"org.argouml.ui.ActionSaveConfiguration",0,1,2,3,0,0,0,1,21,10,0,0,0,"1,50",0,2,3
"org.argouml.ui.ActionSettings",1,6,16,22,1,1,0,6,118,98,0,4,1,"2,75",2,9,22
"org.argouml.ui.ActionShowRapidButtons",1,0,2,2,0,0,0,1,8,8,0,0,0,"1,00",0,2,2
"org.argouml.ui.ActionSnooze",2,1,6,7,1,1,0,1,10,10,0,2,0,"1,50",0,3,3
"org.argouml.ui.ActionUndo",1,0,2,2,0,0,0,1,4,4,0,0,0,"1,00",1,2,2
"org.argouml.ui.Actions",23,24,2,26,24,0,0,1,37,36,0,0,0,"1,50",0,25,3
"org.argouml.ui.ArgoDiagram",0,1,5,6,0,0,0,3,23,17,0,0,0,"1,00",0,5,5
"org.argouml.ui.Clarifier",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
