Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.hadoop.hive.ql.io.orc.RecordReader",0,1,1.735,0,0
"org.apache.hadoop.hive.ql.io.orc.StringColumnStatistics",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.StringRedBlackTree.Visitor",0,1,1,1,2
"org.apache.hadoop.hive.ql.io.orc.StringRedBlackTree.VisitorContext",0,0,0,2,3
"org.apache.hadoop.hive.ql.io.orc.StripeInformation",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.TimestampColumnStatistics",0,0,0,0,0
"org.apache.hadoop.hive.ql.io.orc.Writer",0,0,0,1,1
"org.apache.hadoop.hive.ql.io.sarg.PredicateLeaf",0,2,2,4,1.648
"org.apache.hadoop.hive.ql.io.sarg.SearchArgument",467,2,1.734,10,1.647
"org.apache.hadoop.hive.ql.io.sarg.SearchArgument.Builder",467,1,1.734,3,1.647
"org.apache.hadoop.hive.ql.lib.Dispatcher",467,1,1.734,65,1.647
"org.apache.hadoop.hive.ql.lib.GraphWalker",467,1,1.734,51,1.647
"org.apache.hadoop.hive.ql.lib.Node",0,0,0,239,1.669
"org.apache.hadoop.hive.ql.lib.NodeProcessor",467,1,1.734,216,1.647
"org.apache.hadoop.hive.ql.lib.NodeProcessorCtx",0,0,0,216,1.651
"org.apache.hadoop.hive.ql.lib.Rule",467,1,1.734,46,1.647
"org.apache.hadoop.hive.ql.lockmgr.HiveLockManager",0,0,0,3,1.648
"org.apache.hadoop.hive.ql.lockmgr.HiveTxnManager",467,3,1.734,9,1.647
"org.apache.hadoop.hive.ql.metadata.HiveStorageHandler",467,4,1.734,18,1.647
"org.apache.hadoop.hive.ql.metadata.HiveStoragePredicateHandler",0,3,1.735,4,13
"org.apache.hadoop.hive.ql.metadata.InputEstimator",467,2,1.734,2,1.647
"org.apache.hadoop.hive.ql.metadata.formatting.MetaDataFormatter",467,7,1.734,2,1.647
"org.apache.hadoop.hive.ql.optimizer.BigTableSelectorForAutoSMJ",0,3,1.735,0,0
"org.apache.hadoop.hive.ql.optimizer.Transform",467,2,1.734,12,1.647
"org.apache.hadoop.hive.ql.optimizer.physical.BucketingSortingCtx.BucketSortCol",0,0,0,3,1.650
"org.apache.hadoop.hive.ql.optimizer.physical.PhysicalPlanResolver",0,1,1.735,0,0
"org.apache.hadoop.hive.ql.parse.HiveSemanticAnalyzerHook",467,2,1.734,1,1.647
"org.apache.hadoop.hive.ql.parse.HiveSemanticAnalyzerHookContext",467,4,1.734,11,1.647
"org.apache.hadoop.hive.ql.parse.SubQueryUtils.ISubQueryJoinInfo",0,0,0,3,1.648
"org.apache.hadoop.hive.ql.parse.authorization.HiveAuthorizationTaskFactory",0,5,1.735,1,6
"org.apache.hadoop.hive.ql.plan.ConditionalResolver",467,2,1.734,2,1.647
"org.apache.hadoop.hive.ql.plan.OperatorDesc",0,0,0,177,1.651
"org.apache.hadoop.hive.ql.processors.CommandProcessor",0,1,1,6,1.648
"org.apache.hadoop.hive.ql.security.HiveAuthenticationProvider",467,2,1.734,21,1.647
"org.apache.hadoop.hive.ql.security.HiveMetastoreAuthenticationProvider",0,1,643,1,6
"org.apache.hadoop.hive.ql.security.authorization.AuthorizationFactory.AuthorizationExceptionHandler",467,3,1.734,2,1.647
