Class,OCavg,WMC
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigHadoopLogger","1,83",11
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigInputFormat","2,44",22
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigIntRawComparator","3,20",16
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigLongRawComparator","2,80",14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigMapOnly",n/a,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigMapOnly.Map","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigMapReduceCounter",n/a,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigMapReduceCounter.PigMapCounter","3,00",6
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigMapReduceCounter.PigReduceCounter","3,00",6
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputCommitter","4,33",65
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputFormat","2,50",20
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputFormat.Mode",n/a,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigOutputFormat.PigRecordWriter","2,00",6
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigRecordReader","2,78",25
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigSecondaryKeyComparator","2,75",11
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigSequenceFileInputFormat","3,50",7
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigSplit","2,00",52
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigTextInputFormat","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigTextOutputFormat","2,00",4
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigTextOutputFormat.PigLineRecordWriter","2,00",4
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigTextRawComparator","2,80",14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigTupleDefaultRawComparator","3,00",21
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigTupleSortComparator","4,17",25
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators",n/a,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBigDecimalRawBytesComparator","1,00",2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBigDecimalRawBytesPartitionComparator","1,00",3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBigDecimalRawPartitionComparator","1,00",3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBigIntegerRawBytesComparator","1,00",2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBigIntegerRawBytesPartitionComparator","1,00",3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBigIntegerRawPartitionComparator","1,00",3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBooleanRawBytesComparator","1,00",2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBooleanRawBytesPartitionComparator","1,00",3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBooleanRawPartitionComparator","1,00",3
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigWritableComparators.PigBytesRawBytesComparator","1,00",2
