,commit,instance
190,103,uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataManagerTest.getConfigLocations()
191,105,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.convertNodePath()
192,105,uk.ac.ed.ph.aardvark.tools.legacyconversion.LinkConvertingFilter.setCurrentNodePath()
193,105,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy.convertNodeMetadata()
194,105,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyConverter.main()
195,105,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyConverter.handleFile()
196,105,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyMCQConversionStrategy.convertResources()
197,105,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyConverter.LegacyConverter()
198,105,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.convertNodeType()
199,105,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.createLinkId()
200,105,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.resolvePath()
201,106,uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshaller.getObjectWriterStrategy()
202,106,uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshaller.getObjectReaderStrategy()
203,106,uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshaller.AbstractMarshaller()
204,106,uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshaller.embedObject()
205,106,uk.ac.ed.ph.aardvark.commons.databinding.AbstractMarshaller.writeObject()
206,107,uk.ac.ed.ph.aardvark.commons.util.FileUtilities.recursivelyDelete()
207,108,uk.ac.ed.ph.aardvark.commons.xml.XMLPipeline.execute()
208,112,uk.ac.ed.ph.aardvark.core.databinding.ContentPageLearningResourcesWriterStrategy.getNamespaceMappings()
209,112,uk.ac.ed.ph.aardvark.core.databinding.ContentPageLearningResourcesWriterStrategy.fireDocumentEvents()
210,114,uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
211,115,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.convertNodePath()
212,115,uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
213,115,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.resolveNodePath()
214,115,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.transformContent()
215,115,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.createLinkId()
216,115,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyUtilities.fixNodePath()
217,115,uk.ac.ed.ph.aardvark.tools.legacyconversion.LinkConvertingFilter.fixUri()
218,115,uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyContentPageConversionStrategy.convertResources()
219,116,uk.ac.ed.ph.aardvark.processor.validator.Validator.Validator()
220,116,uk.ac.ed.ph.aardvark.processor.validator.Validator.validate()
221,116,uk.ac.ed.ph.aardvark.processor.validator.ContentPageValidationStrategy.cookSourceCode()
222,116,uk.ac.ed.ph.aardvark.processor.domain.ValidationResult.ValidationResult()
223,116,uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy.saveConfigurationResource()
225,116,uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy.validate()
226,116,uk.ac.ed.ph.aardvark.processor.validator.Validator.getValidator()
227,116,uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy.runValidator()
228,116,uk.ac.ed.ph.aardvark.processor.domain.ValidationResult.getNodeMetadata()
229,116,uk.ac.ed.ph.aardvark.processor.Processor.main()
230,116,uk.ac.ed.ph.aardvark.processor.domain.ValidationResult.toString()
231,117,uk.ac.ed.ph.aardvark.processor.validator.TeX4htTidyingPipeline.execute()
232,119,uk.ac.ed.ph.aardvark.processor.validator.ContentPageValidationStrategy.cookSourceCode()
233,119,uk.ac.ed.ph.aardvark.processor.validator.Validator.Validator()
234,119,uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
