,instance,commit_superclass
4325,org.eclipse.jdt.apt.core.internal.declaration.TypeDeclarationImpl,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.core.internal.declaration.MemberDeclarationImpl
4326,org.eclipse.jdt.apt.core.internal.env.BuildFilerImpl,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.core.internal.env.FilerImpl
4327,org.eclipse.jdt.apt.core.internal.env.EndingOffsetFinder,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.core.dom.ASTVisitor
4328,org.eclipse.jdt.apt.tests.APTTestBase,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.core.tests.builder.BuilderTests
4329,org.eclipse.jdt.apt.tests.AnnotationValueConversionTests,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.tests.APTTestBase
4330,org.eclipse.jdt.apt.tests.AptReconcileTests,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.core.tests.model.ModifyingResourceTests
4331,org.eclipse.jdt.apt.tests.FileGenerationTests,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.tests.APTTestBase
4332,org.eclipse.jdt.apt.tests.PreferencesTests,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.tests.APTTestBase
4333,org.eclipse.jdt.apt.tests.ReadAnnotationTests,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.core.tests.builder.BuilderTests
4334,org.eclipse.jdt.apt.tests.TestAll,5968239a533ddcecfe4f0e19826f01eca0bd5d0cjunit.framework.TestCase
4335,org.eclipse.jdt.apt.tests.annotations.BaseProcessor,5968239a533ddcecfe4f0e19826f01eca0bd5d0ccom.sun.mirror.apt.AnnotationProcessor
4336,org.eclipse.jdt.apt.tests.annotations.filegen.TextGenAnnotationProcessor,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.tests.annotations.BaseProcessor
4337,org.eclipse.jdt.apt.tests.annotations.helloworld.HelloWorldAnnotationProcessor,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.tests.annotations.BaseProcessor
4338,org.eclipse.jdt.apt.tests.annotations.messager.MessagerAnnotationProcessor,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.tests.annotations.BaseProcessor
4339,org.eclipse.jdt.apt.tests.annotations.valueconversion.ValueConversionProcessor,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jdt.apt.tests.annotations.BaseProcessor
4340,org.eclipse.jdt.apt.ui.internal.preferences.AdvancedFactoryPathOptionsDialog,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.jface.dialogs.Dialog
4341,org.eclipse.jdt.apt.ui.internal.preferences.Messages,5968239a533ddcecfe4f0e19826f01eca0bd5d0corg.eclipse.osgi.util.NLS
4342,org.eclipse.jdt.internal.compiler.apt.dispatch.ForwardingOutputStream,5968239a533ddcecfe4f0e19826f01eca0bd5d0cjava.io.OutputStream
4343,org.eclipse.jdt.internal.compiler.apt.model.DeclaredTypeImpl,5968239a533ddcecfe4f0e19826f01eca0bd5d0cTypeMirrorImpl
4344,targets.model.pa.ExceptionA,5968239a533ddcecfe4f0e19826f01eca0bd5d0cException
4345,targets.model.pb.IC,5968239a533ddcecfe4f0e19826f01eca0bd5d0ctargets.model.pb.IB
4346,targets.model.pc.C,5968239a533ddcecfe4f0e19826f01eca0bd5d0ctargets.model.pa.A
4347,targets.model.pc.D,5968239a533ddcecfe4f0e19826f01eca0bd5d0cC
4348,org.eclipse.jdt.internal.compiler.apt.dispatch.BatchAptProblem,83ac320f656827a9d8ea883f97b343912fdaf3c7org.eclipse.jdt.internal.compiler.problem.DefaultProblem
4349,org.eclipse.jdt.internal.compiler.apt.model.ErrorTypeElement,83ac320f656827a9d8ea883f97b343912fdaf3c7TypeElementImpl
4350,org.eclipse.jdt.internal.compiler.apt.model.ErrorTypeImpl,83ac320f656827a9d8ea883f97b343912fdaf3c7DeclaredTypeImpl
4351,org.eclipse.jdt.internal.compiler.apt.model.ExecutableTypeImpl,83ac320f656827a9d8ea883f97b343912fdaf3c7TypeMirrorImpl
4352,org.eclipse.jdt.internal.compiler.apt.model.Factory,83ac320f656827a9d8ea883f97b343912fdaf3c7javax.lang.model.element.AnnotationMirror
4353,org.eclipse.jdt.internal.compiler.apt.model.TypeVariableImpl,83ac320f656827a9d8ea883f97b343912fdaf3c7TypeMirrorImpl
4354,org.eclipse.jdt.internal.compiler.apt.model.WildcardTypeImpl,83ac320f656827a9d8ea883f97b343912fdaf3c7TypeMirrorImpl
