CommitNumber;Entity;Method;Change
ded6feba4849300d1634f2956b3bcab624391019;METHOD;org.apache.james.mime4j.EncodeUtils.toInt(byte);BODY_MODIFIED
bb6607a6cb9a0f2d1c3fd1298e0410dd76f6afb6;METHOD;org.apache.james.mime4j.decoder.DecoderUtilTest.testDecodeQ();BODY_MODIFIED
bb6607a6cb9a0f2d1c3fd1298e0410dd76f6afb6;METHOD;org.apache.james.mime4j.decoder.DecoderUtilTest.testDecodeEncodedWords();BODY_MODIFIED
78699d466a8c3dd67b78a347cbf4043b2e26d952;METHOD;org.apache.james.mime4j.MimeTokenStreamReaderTest.testShouldReadOnePartMime8859Body();BODY_MODIFIED
78699d466a8c3dd67b78a347cbf4043b2e26d952;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.MaximalBodyDescriptor(BodyDescriptor);BODY_MODIFIED
78699d466a8c3dd67b78a347cbf4043b2e26d952;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.addField(String,String);BODY_MODIFIED
78699d466a8c3dd67b78a347cbf4043b2e26d952;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.parseMimeVersion(String);BODY_MODIFIED
558450a22978b1bfda8e0c9c6bb183bb87750537;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testGetParameters();BODY_MODIFIED
558450a22978b1bfda8e0c9c6bb183bb87750537;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testAddField();BODY_MODIFIED
558450a22978b1bfda8e0c9c6bb183bb87750537;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testGetMimeType();BODY_MODIFIED
558450a22978b1bfda8e0c9c6bb183bb87750537;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testParameters();BODY_MODIFIED
365bd5ae2fed0c41ba74d773b63d770256df0b38;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testGetParameters();BODY_MODIFIED
fee6200c22a7252ca907806fb02fbea140974185;METHOD;org.apache.james.mime4j.DefaultBodyDescriptor.addField(String,String);BODY_MODIFIED
fee6200c22a7252ca907806fb02fbea140974185;METHOD;org.apache.james.mime4j.util.MimeUtil.getHeaderParams(String);BODY_MODIFIED
f4f8b2510958f6c5c1b9617ea7a81b194e2809a4;METHOD;org.apache.james.mime4j.field.datetime.DateTime.print();BODY_MODIFIED
f4f8b2510958f6c5c1b9617ea7a81b194e2809a4;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.MaximalBodyDescriptor(BodyDescriptor);BODY_MODIFIED
f4f8b2510958f6c5c1b9617ea7a81b194e2809a4;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.addField(String,String);BODY_MODIFIED
a041af42e17e239f413409869fc10fb6cc7c919e;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.MaximalBodyDescriptor(BodyDescriptor);BODY_MODIFIED
a041af42e17e239f413409869fc10fb6cc7c919e;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.addField(String,String);BODY_MODIFIED
a041af42e17e239f413409869fc10fb6cc7c919e;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.parseContentDisposition(final);BODY_MODIFIED
494eace063935a1fb104e768bd255bce8ab7aa63;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.MaximalBodyDescriptor(BodyDescriptor);BODY_MODIFIED
494eace063935a1fb104e768bd255bce8ab7aa63;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.addField(String,String);BODY_MODIFIED
494eace063935a1fb104e768bd255bce8ab7aa63;METHOD;org.apache.james.mime4j.field.structured.StructuredFieldParserTest.parse(String);BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.MimeBoundaryInputStream.close();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.MimeBoundaryInputStream.read();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.MimeBoundaryInputStreamTest.testCRLFPrecedingBoundary();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.MimeBoundaryInputStreamTest.testImmediateBoundary();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.MimeBoundaryInputStreamTest.testHasMoreParts();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.MimeBoundaryInputStreamTest.testPrefixIsBoundary();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.Entity.setParseBodyPartState();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.Entity.next();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.Entity.read();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.StreamCursor.StreamCursor(InputStream);BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.StreamCursor.decodeBase64();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.StreamCursor.decodeQuotedPrintable();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.StreamCursor.advanceToBoundary();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.StreamCursor.isEnded();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.StreamCursor.moreMimeParts();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.StreamCursor.boundary(String);BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.StreamCursor.nextMimePartCursor();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.StreamCursor.nextSection();BODY_MODIFIED
1cdbde4ac85039ea995779d79c402acb6d62170d;METHOD;org.apache.james.mime4j.StreamCursor.rest();BODY_MODIFIED
103a6912cc7cad2177db3e50006ec3d54bc4ab3b;METHOD;org.apache.james.mime4j.StrictMimeTokenStreamTest.testUnexpectedEndOfHeaders();BODY_MODIFIED
869168e66ca0fd16e5c7f894b2b3c5c00e7d7be0;METHOD;org.apache.james.mime4j.MimeTokenStream.setRecursionMode(int);BODY_MODIFIED
422526fc0a799e7a0af72831bd4802f79aaf9df6;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.MaximalBodyDescriptor(BodyDescriptor);BODY_MODIFIED
422526fc0a799e7a0af72831bd4802f79aaf9df6;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.addField(String,String);BODY_MODIFIED
a9e0e511ace1c0f9df155e592ed0a7c489b8140f;METHOD;org.apache.james.mime4j.DefaultBodyDescriptor.parseContentType(String);BODY_MODIFIED
a9e0e511ace1c0f9df155e592ed0a7c489b8140f;METHOD;org.apache.james.mime4j.BaseTestForBodyDescriptors.testParameters();BODY_MODIFIED
810d150726259c7e9c79bc9906c3390547475463;METHOD;org.apache.james.mime4j.MimeTokenStream.next();BODY_MODIFIED
94f24e262d2f4b8dcdcb740571337dd35bd2313b;METHOD;org.apache.james.mime4j.MimeTokenStream.doParse(InputStream,String);BODY_MODIFIED
